model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,-0.008126424578377714,0.11522551891870764,0.0365960823746857
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,-0.00791105200371077,0.11628469352817489,0.03663291802882396
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,-0.003164391534798472,0.10002925760366244,0.03477091661912879
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,-0.004130771265637427,0.10295581165087497,0.0347653984160613
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,-0.004394637245620905,0.11052819212168052,0.034085101411733265
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,-0.0060989335056105265,0.10221686250605033,0.03516204087904162
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,-0.005085525496201525,0.09386627078271048,0.03516555178947489
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,-0.0043672570138772945,0.09439103033262758,0.034974874938316636
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,-0.0035944617704651224,0.0976490353469483,0.03477825043331728
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,-0.005968423336851478,0.10356093453011905,0.03525970875530904
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,-0.006602142692444447,0.10500251699739416,0.03524464590280696
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,-0.0028493317276446356,0.09885501548947934,0.03464246882479982
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,-0.003329587694735174,0.0982483146160994,0.03407465223511352
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,-0.010060636826049622,0.12314261858191344,0.03563567128929446
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,-0.008857705800957613,0.11692943706450737,0.036909650932229976
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,-0.002236665332664603,0.11920173325103317,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,-0.008119479649676235,0.14830144626021646,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,-0.0011827498796198113,0.10520390204274865,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,-0.004440120492539827,0.12476354634562925,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,-0.0021240341180448485,0.0963207369495116,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,-0.002005376763781014,0.11790636436971552,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,CO_Bridge,-0.0013847093735670085,0.11278606100298683,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,-0.007578757458623561,0.14942346493978415,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,-0.005257399805035992,0.12086864595024743,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,-0.004518528609605978,0.13646969483128518,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,-0.0032240303292400616,0.12298032441813245,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,-0.013606151804113162,0.18264624714886618,0.006717136909997978
