Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.2,SSP2_SPA2_19I_RE,World,Capacity|Electricity|Wind|Offshore,GW,,0.685549987792968,3.055800048828125,11.7174697265625,34.36744921875,46.47744140625,259.33159375,437.4466875,571.109375,784.924625,897.1673125,1025.085,1258.677,1394.554,1464.941,1566.876,1634.259,1649.46,1734.396,1971.315,1980.805
IMAGE 3.2,SSP2_SPA2_19I_RE,World,Capacity|Electricity|Wind|Onshore,GW,,57.75473046875,177.81759375,404.5421875,698.920125,802.434875,1819.255,2893.292,3292.65,3920.72,4374.376,4534.301,4182.341,4417.484,5231.301,5511.487,5944.564,6211.374,6322.541,6175.748000000001,6259.278
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,26.97742761160048,26.97742761160048,188.6827309460002,259.9586985320551,324.8694060577803,499.8880993124189,519.6725896777912,545.207909333951,,1024.549159831658,,953.8735124634668,,682.8097305500969,,1051.890872156453
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,786.3362058265296,1122.145739625412,2686.647164434917,4913.108833799547,6742.386513470163,8081.667615508626,9478.425653491136,10430.83898753292,,11324.29517901058,,11096.84267436015,,10322.00176589963,,10209.15430231807
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,39.44978656249999,39.44978656249999,210.7006337508437,278.8065736165555,380.0074128137105,507.6600256800255,499.0170085385809,566.4327161410388,,1028.975302677506,,952.8078644365812,,660.575684188211,,1067.150907597107
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,952.7359645453366,1326.646469014526,2962.184975054055,4852.092653517255,6768.952685795863,8194.858896543055,9534.426474822703,10366.05725815747,,11488.15279126596,,11084.15920412174,,10408.39753576051,,10374.85827682862
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,31.75584418502401,31.75584418502401,160.506253526923,291.2398893728493,548.8867422103853,706.0474938895668,875.9556446780437,957.3952276509084,,1173.321719505716,,918.2495821891408,,747.2147052887408,,1173.020931862505
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1028.439815424018,1340.350482459596,2880.616594743448,5204.870071398583,6950.678408310988,8270.34680651707,9777.546751134316,11091.4460814486,,11977.11602439159,,11787.97284905439,,10988.19720787455,,11237.23210482677
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,26.97742761160048,26.97742761160048,138.8531762199268,204.7532267988655,249.8080519032146,354.7615466157568,456.223831009884,510.927987779455,,1044.287757749197,,937.9748813997464,,760.09684844352,,1243.618995336919
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,786.3362058265296,1122.145739625412,2633.057312926002,4514.809219674047,6617.838443971582,7666.080315903184,8616.379468537918,9613.745053664186,,12071.36184095039,,12145.82764616666,,11551.40715628534,,11464.93713214563
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,39.44978656249999,39.44978656249999,39.44978656249999,146.0688140665111,211.9688646454497,254.9602567499961,366.0954902548762,436.2705616786944,478.735635326221,,988.5820402162556,,914.9796682926216,,770.8957222007461,,1250.558933950839
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7317881283179,952.7359645453366,1326.646469014526,2845.829048899363,4535.999555572569,6690.452518642923,7593.081495274617,8563.375201255687,9566.594312067831,,12163.59788415503,,12270.51679339801,,11693.69890952676,,11672.32887677776
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,35.96668656624294,35.96668656624294,160.5564055230738,235.3154731053858,421.5230164991732,650.6500573882532,785.5279448549655,890.3919700307924,,1162.46659987752,,907.2699668335754,,748.924455325288,,1230.665845953089
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1127.836093118972,1434.751121224856,2974.400857918314,5201.297740235188,7321.753875890844,8406.744403695531,9921.249266147955,11144.18025687456,,12031.96364399759,,11805.21702739815,,11087.2020100908,,11249.04236871898
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,132.6281381968304,144.6169823822634,153.4197143506723,229.9394132083552,367.4128547741151,513.2927246066423,740.0847255947461,764.6712892828663,,770.4082950867037,,608.5712503489035,,672.1394896570717,,1296.348958980488
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1886.774070031303,3125.799631837659,5086.075457393488,6381.532317939751,7752.14891017783,8810.009998018759,9885.518127467678,10157.11877714559,,10961.61077577991,,10500.70501159782,,11122.88808597821,,13512.56724373528
