model,scenario,carbon_budget_share,region
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.6906037701756195,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.6924145280176695,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.6696916206993412,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.7288579825667049,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.49592481725900855,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.6692820888857351,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.5778696454612128,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.5804391990066936,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.5784370826303291,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.5855197905393792,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.5789693140558897,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.6516313423557388,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.6512884947703625,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.649574594771693,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.676639963092379,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.7517494793144025,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.6375442398504667,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.7731178665812252,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.6331600037371947,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.8314025328557361,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.8324356940955393,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.9567167449022057,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.8314025328557361,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.8324356736417217,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.9567167449022057,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.8314025328557361,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.8324356736417217,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.9567167449022057,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.9083178890788609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.794777941757944,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.752422050324314,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.8123960518146478,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.7767173563867028,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.8602484818128608,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.819179265706385,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.819179265706385,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.819179265706385,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.819179265706385,R10INDIA+
