model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.152175753185001,0.3194915365916828,0.29418928103971065,0.7658565708163945,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.14206186963024203,0.3262418909034229,0.29420312957481876,0.7625068901084837,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.04361253456105656,0.20426164495047408,0.2877944833525679,0.5356686628640985,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.10706621766837161,0.19194578706235468,0.2877944833525679,0.5868064880832942,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0701476677480987,0.18252109607328626,0.27990151266442215,0.5325702764858071,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.11357905869279797,0.2005374852450044,0.2917874103535382,0.6059039542913406,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.09242121178908304,0.1325721035687737,0.2917874103535382,0.516780725711395,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.07324744831071447,0.14024950128686267,0.29088413415074765,0.5043810837483248,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.044448760192057575,0.1981661713707642,0.2877944833525679,0.5304094149153897,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.10450195121922232,0.19525543260533312,0.2917874103535382,0.5915447941780936,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.16938703346650963,0.18071811969650842,0.2917874103535382,0.6418925635165562,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.03220026686248668,0.15869673118936883,0.28600894292315515,0.47690594097501066,R10CHINA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.09384450274489443,0.1262724662330322,0.27990151266442215,0.5000184816423487,R10CHINA+
