model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.22244416856580357,0.26953483185703414,0.6672872691702557,1.1592662695930933,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.19841679930315528,0.501977039809637,0.6672872691702557,1.367681108283048,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.31565790731554566,0.48952311521856157,0.6672872691702557,1.472468291704363,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.321922461155077,0.5062925783834622,0.6672872691702557,1.495502308708795,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.311746551235623,0.5863392149386133,0.6672872691702557,1.565373035344492,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.31436933680105905,0.580908990604299,0.6672872691702557,1.5625655965756138,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.3049095636988669,0.6206845557254269,0.6672872691702557,1.5928813885945496,R10LATIN_AM
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.30472695479223016,0.6222748664118679,0.6672872691702557,1.5942890903743536,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.2606316006088059,0.5086448513347547,0.6672872691702557,1.4365637211138162,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.26188734245060763,0.5182671887367902,0.6672872691702557,1.4474418003576535,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.0854382495768071,0.6814873006513668,0.6672872691702557,1.4342128193984296,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.22540554554918688,0.7399515150187281,0.6672872691702557,1.6326443297381708,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.12051526501576916,0.4388392874268693,0.6672872691702557,1.226641821612894,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.13383559202696355,0.4561413757628966,0.6672872691702557,1.2572642369601157,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.12590745684878285,0.42655586644540483,0.6672872691702557,1.2197505924644434,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.13435640040793634,0.4735609674445167,0.6672872691702557,1.2752046370227088,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.1309160394336914,0.39069246764902876,0.6672872691702557,1.1888957762529757,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.1381455257527246,0.3947040397228564,0.6672872691702557,1.2001368346458365,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.12909678763419064,0.40291126229705415,0.6672872691702557,1.1992953191015006,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.13931737557575957,0.44293716761450436,0.6672872691702557,1.2495418123605195,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.13789794229911445,0.3771293225688587,0.6672872691702557,1.182314534038229,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.14756069645874983,0.4091464415456033,0.6672872691702557,1.223994407174609,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.1341353790741885,0.3827631669630017,0.6672872691702557,1.1841858152074458,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.14244524326741725,0.41354768449501517,0.6672872691702557,1.2232801969326883,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.15195582866411247,0.38663344076056594,0.6672872691702557,1.2058765385949342,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.11681553980365006,0.5163994056816013,0.6672872691702557,1.300502214655507,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.11797172050320048,0.4936178145359522,0.6672872691702557,1.2788768042094083,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.12543963883410109,0.5535139758475361,0.6672872691702557,1.3462408838518929,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.1198278889620437,0.4700057522969537,0.6672872691702557,1.2571209104292531,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.12752888820913155,0.523553574475301,0.6672872691702557,1.3183697318546883,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.11709666024477462,0.4091409046228503,0.6672872691702557,1.1935248340378806,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.12568620775811398,0.42472293968433783,0.6672872691702557,1.2176964166127076,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.12163085402758282,0.4537937926150302,0.6672872691702557,1.2427119158128688,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.12982740941705467,0.5056950080931055,0.6672872691702557,1.302809686680416,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.12368602278054727,0.40190830320487597,0.6672872691702557,1.1928815951556788,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.12870821561660636,0.5009959793255122,0.6672872691702557,1.2969914641123743,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.12306938746137254,0.4414096617198976,0.6672872691702557,1.231766318351526,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.1328952488630205,0.48346271844947675,0.6672872691702557,1.2836452364827529,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.17923145285195038,0.062378710837555265,0.3332210976709425,0.5748312613604482,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.17120565048675657,0.062062484483425974,0.3332210976709425,0.566489232641125,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.18686451796856585,0.08436624651315414,0.3332210976709425,0.6044518621526624,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.18459680535949316,0.08463768338421573,0.3332210976709425,0.6024555864146515,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.19654605841921338,0.08193131151355149,0.3332210976709425,0.6116984676037074,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.1660793183078166,0.06773263549702828,0.3332210976709425,0.5670330514757873,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.1837907820858347,0.051711327405698476,0.3332210976709425,0.5687232071624757,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.19015083943847313,0.062142356808265936,0.3332210976709425,0.5855142939176816,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.19871679197047057,0.07209178348612898,0.3332210976709425,0.6040296731275421,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.197213374681878,0.07134556933042516,0.3332210976709425,0.6017800416832457,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.11981289113187528,0.1446956083515876,0.3332210976709425,0.5977295971544054,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.1876338991104958,0.038864461102621595,0.3332210976709425,0.5597194578840599,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.12192322403581424,0.13556520677131043,0.3332210976709425,0.5907095284780672,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.13905841942182298,0.10230372636029522,0.3332210976709425,0.5745832434530607,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.11944684861383735,0.10665523804086226,0.3332210976709425,0.5593231843256421,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.2111751025418602,0.06506283869086611,0.3332210976709425,0.6094590389036688,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.13966047414137672,0.1118104658071135,0.3332210976709425,0.5846920376194327,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.2451249929638326,0.0,0.3332210976709425,0.578346090634775,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.21948092203717454,0.06123970330728526,0.3332210976709425,0.6139417230154023,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.23939414195505823,0.06228847849134945,0.3332210976709425,0.6349037181173502,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.2028563343454964,0.044926233019422925,0.3332210976709425,0.5810036650358619,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.20149667897302395,0.053771166699498524,0.3332210976709425,0.588488943343465,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.23414746603048497,0.03851990361505546,0.3332210976709425,0.6058884673164829,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.20017069264661788,0.18507825735696978,0.3332210976709425,0.7184700476745302,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.18240900665633164,0.20849265865138666,0.3332210976709425,0.7241227629786608,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.21977331765375602,0.05131279619170188,0.3332210976709425,0.6043072115164003,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.22248782332414674,0.06867032985731567,0.3332210976709425,0.6243792508524049,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.2035439241189365,0.11888474816210008,0.3332210976709425,0.655649769951979,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.0917279593364045,0.49546274033829063,0.3332210976709425,0.9204117973456376,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.09285823315831052,0.4601611923139202,0.3332210976709425,0.8862405231431731,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,2.2141543757873994e-15,0.5626244996385172,0.3332210976709425,0.8958455973094619,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.08958379565620732,0.27240128332775826,0.3332210976709425,0.695206176654908,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.07442740536188472,0.7118505699076194,0.3332210976709425,1.1194990729404466,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.2466876675509866,0.16966905346536032,0.3332210976709425,0.7495778186872895,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.2549864225012469,0.1587604425867023,0.3332210976709425,0.7469679627588917,R10INDIA+
