,scenario,model,mean_value,mean_value_2050,region
67,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.618460490760917,0.9779918691285168,R10LATIN_AM
68,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.6563059884707718,1.0709481919761992,R10LATIN_AM
69,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,1.092073315703449,1.3234008876547922,R10LATIN_AM
70,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,1.1887913946110076,1.4066800112565079,R10LATIN_AM
71,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,1.5726985222979686,1.229711420776984,R10LATIN_AM
72,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,1.4595867195886507,1.188141348069656,R10LATIN_AM
73,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,1.4115320943143521,1.1599912931363627,R10LATIN_AM
74,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,1.1942842538703102,1.5664881591641229,R10LATIN_AM
75,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,1.219031561520295,1.6217029561964371,R10LATIN_AM
76,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,1.3311041023347907,1.1472211397986933,R10LATIN_AM
77,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,1.2158758226944684,1.2834063199581354,R10LATIN_AM
78,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,1.2056461741900657,1.270448673933521,R10LATIN_AM
79,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,1.3275864741697159,1.1440704530144716,R10LATIN_AM
80,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,1.5565356965090662,1.3891990164176782,R10LATIN_AM
81,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,1.496043114391302,1.3495688175752694,R10LATIN_AM
82,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,1.2373588933091109,1.6945480674528044,R10LATIN_AM
83,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,1.432211375151937,1.3480282697479884,R10LATIN_AM
84,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,1.152254859592024,1.5022847742608723,R10LATIN_AM
85,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,1.3804596839766947,1.3375360360730342,R10LATIN_AM
86,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,1.1026984629538346,1.3893629816225104,R10LATIN_AM
87,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,1.1059557711228605,1.3857235202375384,R10LATIN_AM
88,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,1.286012129008367,1.29464486657188,R10LATIN_AM
89,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,1.1610656659318161,1.334841968684867,R10LATIN_AM
90,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.49389613307805885,0.7923371510893797,R10LATIN_AM
91,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.6895390143276224,1.1259082739314077,R10LATIN_AM
92,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,1.1775224975004484,1.5110777007815552,R10LATIN_AM
93,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,0.8082633552105826,1.1292938161443558,R10LATIN_AM
94,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,0.7520744380098964,1.0074912838529262,R10LATIN_AM
95,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,0.8697039615922472,1.2520019570433532,R10LATIN_AM
96,EN_INDCi2030_500f,WITCH 5.0,0.5096723431672702,0.7109717605868564,R10LATIN_AM
97,EN_NPi2020_400f,WITCH 5.0,0.5169628394315045,0.6376100352798,R10LATIN_AM
98,EN_NPi2020_450,WITCH 5.0,0.4664134577781058,0.5408007292192285,R10LATIN_AM
99,EN_NPi2020_450f,WITCH 5.0,0.526290665556617,0.655225099289857,R10LATIN_AM
100,EN_NPi2020_500,WITCH 5.0,0.4844123622617515,0.5616725794701684,R10LATIN_AM
101,EN_NPi2020_500f,WITCH 5.0,0.5386528238578523,0.6802380587007295,R10LATIN_AM
102,SSP1_SPA1_19I_D,IMAGE 3.2,0.6831849803182584,1.2263943724166002,R10INDIA+
103,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.7544260151978008,1.3980525093306133,R10INDIA+
104,SSP1_SPA1_19I_LI,IMAGE 3.2,0.6109347638146232,1.106468393114559,R10INDIA+
105,SSP1_SPA1_19I_LIRE,IMAGE 3.2,0.7230851304858414,1.1173243743935413,R10INDIA+
106,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,0.836759798454213,1.407978124939623,R10INDIA+
107,SSP1_SPA1_19I_RE,IMAGE 3.2,0.7865031256051201,1.4221854038473356,R10INDIA+
108,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.8562397519225319,1.5495074024994064,R10INDIA+
109,SSP2_SPA1_19I_D_LB,IMAGE 3.2,0.7376881903876781,1.134441197763794,R10INDIA+
