,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached
75,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,-0.00013123117517142846,-0.00013177304711123328,1
76,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,-0.012096020767831853,-0.012096686462923792,1
77,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,-2.998356170419436e-05,-3.070552117327707e-05,1
78,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,-0.0001293569424501012,-0.0001299612973030273,1
79,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,-0.009889135166366261,-0.009889819011219159,1
80,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,-3.6509305979814943e-07,-4.822328792952746e-07,1
81,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,-6.833285908780518e-07,-1.2182747163025365e-06,1
82,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,-4.802867127340349e-07,-1.202656183474371e-06,1
83,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,-6.442820758428836e-07,-1.202656183474371e-06,1
84,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,-3.065187694634153e-07,-5.564174414135481e-07,1
85,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,-3.4751992858406133e-07,-4.099945477842315e-07,1
86,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,-7.067564998936016e-07,-2.1459893262992802e-05,1
87,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,-5.815358882221844e-07,-4.700664012619038e-06,1
88,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,-4.802867127340349e-07,-1.202656183474371e-06,1
89,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,-5.737265852123752e-07,-1.2099219252742488e-06,1
90,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,-4.832260552395384e-07,-9.664475820875262e-07,1
91,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,-4.832260552395384e-07,-1.1460607096114295e-06,1
92,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,-4.832260552395384e-07,-3.960669780160575e-05,1
93,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,-2.1163392943668313e-06,-7.543851506836008e-06,1
94,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,-3.315077603156802e-05,-3.89531380083491e-05,1
95,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,-3.3502197685775226e-06,-8.941728752931422e-06,1
96,EN_INDCi2030_500f,WITCH 5.0,-0.03836033604842734,-0.0858048900580072,1
97,EN_NPi2020_400f,WITCH 5.0,-0.03795455410718407,-0.09516977734642706,1
98,EN_NPi2020_450,WITCH 5.0,-0.04570829170949359,-0.09036199338781595,1
99,EN_NPi2020_450f,WITCH 5.0,-0.03674347815161777,-0.09626874582656056,1
100,EN_NPi2020_500,WITCH 5.0,-0.03860559772829772,-0.06897354520899165,1
101,EN_NPi2020_500f,WITCH 5.0,-0.03221423666799464,-0.09671776299505608,1
