model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.2526646629709109,0.5082296614950492,0.40056096787633694,0.7735688866308051,1.935024178973102,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.20535476282890722,0.508670882121314,0.35973731259832803,0.8376998481166472,1.9114628056651963,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.21633745046631334,0.6797655327309312,0.3278215700923271,0.8175253714572432,2.0414499247468147,R10LATIN_AM
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.21608547964601926,0.7174764190491484,0.33539325686003485,0.8323247380428884,2.101279893598091,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.2316634281173143,0.2867546889400063,0.6122466344273264,0.8432764620586152,1.9739412135432621,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.21531849320854396,0.40090399189936926,0.5832702448842001,1.0,2.199492729992113,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.23811021520814285,0.3688944121483277,0.5407493132370477,0.8004795178157772,1.9482334584092953,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.21513989796288793,0.4782031268110826,0.7458984339180963,0.9670790746170567,2.4063205333091235,R10LATIN_AM
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.2501984080253173,0.04790374614875411,0.6167176431895024,0.7967999737271059,1.7116197710906795,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.20048696815988482,0.6606867930591936,0.39599473255314255,0.7013083097758306,1.9584768035480515,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.20587420238849866,0.726740718067865,0.40473221732724124,0.6282631110820138,1.9656102488656189,R10LATIN_AM
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.2085350181791951,0.7220541055158453,0.40647544230923205,0.5858886235662695,1.9229531895705418,R10LATIN_AM
