model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.12423376309059338,0.5795091496372201,0.3941751000626715,0.2917780070173156,1.3896960198078008
WITCH 5.0,ENGAGE-INDCi2030-1400,0.10440635000236238,0.6029040871136615,0.4189980042391987,0.40519454568718516,1.5315029870424077
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.1083148831157779,0.5902102664630271,0.42783327765956053,0.2917780070173156,1.4181364342556813
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.1068112528161488,0.6047018601480839,0.4033555643591858,0.40519454568718516,1.5200632230106037
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.10848035250690176,0.5938257966303299,0.41762186390187817,0.2917780070173156,1.4117060200564253
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.10098552181740826,0.6059233031224752,0.5083504433511706,0.2917780070173156,1.5070372753083696
WITCH 5.0,ENGAGE-INDCi2030-500f,0.162200065139161,0.5206305169152375,0.3269203504758975,0.40519454568718516,1.4149454782174813
WITCH 5.0,ENGAGE-INDCi2030-600f,0.1602303288700879,0.5356802226795767,0.32240272728411845,0.40519454568718516,1.4235078245209682
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.16130959324616032,0.5153533834658529,0.33556721269034884,0.2917780070173156,1.3040081964196777
WITCH 5.0,ENGAGE-INDCi2030-700f,0.1575473320748629,0.5482031277723841,0.32428839388471903,0.40519454568718516,1.4352333994191513
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.1588202649188083,0.5298155100262997,0.3357007522979444,0.2917780070173156,1.3161145342603677
WITCH 5.0,ENGAGE-INDCi2030-800,0.19186299021754868,0.5275997658540538,0.31396482344365795,0.40519454568718516,1.4386221252024456
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.19346602604030524,0.5048513264430297,0.32598602807220045,0.2917780070173156,1.316081387572851
WITCH 5.0,ENGAGE-INDCi2030-800f,0.15279270101583672,0.5603212134434279,0.32521831242249283,0.40519454568718516,1.4435267725689425
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.1487040633262753,0.5417838491104106,0.3381875337065745,0.2917780070173156,1.3204534531605758
WITCH 5.0,ENGAGE-INDCi2030-900,0.16505154607100636,0.5489105448702967,0.3216464095789258,0.40519454568718516,1.4408030462074137
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.16255092418821304,0.5311136255595277,0.32694214947576844,0.2917780070173156,1.3123847062408247
WITCH 5.0,ENGAGE-INDCi2030-900f,0.14299076719958387,0.5689651441962305,0.33524261773082553,0.40519454568718516,1.452393074813825
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.14138084735814854,0.5524473688942295,0.34638446238208564,0.2917780070173156,1.3319906856517794
