model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.803999163664325,0.4918999000796492,0.0,1.2958990637439742,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.8080148757790052,0.5065482066572192,0.0,1.3145630824362244,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.24375179535077363,0.7550219546723554,0.0,0.9987737500231291,R10LATIN_AM
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.6913504556684651,0.8440233791795356,0.0,1.5353738348480008,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000,0.35592389247780976,0.3856332770939962,0.0,0.741557169571806,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.39852070399569967,0.41197264598005406,0.0,0.8104933499757537,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.3731674765869805,0.3669339414918395,0.0,0.74010141807882,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.40018618686429513,0.43849089292434434,0.0,0.8386770797886395,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.38918432423357635,0.31233826078209437,0.0,0.7015225850156708,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.4123033562096094,0.31844516964843855,0.0,0.730748525858048,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.38336657471873414,0.33093921422348843,0.0,0.7143057889422226,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.4160507916890193,0.39187157479637463,0.0,0.807922366485394,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.41151161395737207,0.2916907716129491,0.0,0.7032023855703211,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.44241194525823174,0.340431171674443,0.0,0.7828431169326747,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.3994793870922493,0.30026730311955296,0.0,0.6997466902118022,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.42605333820326546,0.34713128551910144,0.0,0.773184623722367,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.45646705201279564,0.3061591103548577,0.0,0.7626261623676533,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.3440926140567786,0.5037048373520637,0.0,0.8477974514088423,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.34778994155466825,0.4690238947200036,0.0,0.8168138362746719,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.37167145056754974,0.5602052051494284,0.0,0.9318766557169782,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.3537257461276603,0.4330787067522291,0.0,0.7868044528798894,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.37835262001385916,0.5145957938233707,0.0,0.8929484138372299,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.3449916035811608,0.3404227426889903,0.0,0.6854143462701512,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.3724599484755605,0.364143634728676,0.0,0.7366035832042366,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.3594914126165961,0.40839886590672086,0.0,0.767890278523317,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.38570301573473675,0.4874092855486821,0.0,0.8731123012834189,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.36606359631253027,0.3294123864213496,0.0,0.6954759827338799,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.3821239679133415,0.4802558454718493,0.0,0.8623798133851908,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.3640916703647599,0.38954621727580885,0.0,0.7536378876405687,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.3955135991038336,0.4535645572862626,0.0,0.8490781563900962,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.2783688170244935,0.08762893994121615,0.0,0.3659977569657097,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.26590374421209567,0.08718470857090155,0.0,0.3530884527829972,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.29022391987041163,0.11851679282086237,0.0,0.408740712691274,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.28670187914433143,0.11889810440862555,0.0,0.405599983552957,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.3052605605902062,0.11509622240547498,0.0,0.42035678299568113,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.2579419104958624,0.09515007553596298,0.0,0.3530919860318254,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.28545002439667244,0.07264351479329338,0.0,0.35809353918996584,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.29532798729487175,0.08729691235104367,0.0,0.3826248996459154,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.3086319807350732,0.10127375959744574,0.0,0.4099057403325189,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.306296986037098,0.10022548600288969,0.0,0.4065224720399877,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.18608437435484085,0.20326682939983529,0.0,0.38935120375467613,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.2914188648140143,0.05459637562370041,0.0,0.3460152404377147,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.18936198475552543,0.19044053977354186,0.0,0.37980252452906726,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.21597508191669684,0.14371517097130612,0.0,0.35969025288800294,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.18551586463678899,0.14982812762895373,0.0,0.33534399226574274,R10INDIA+
