model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.1359188203087891,0.17593172786036165,0.6270771038158833,0.6915979897543589,0.06097291496441021,0.08688415574378888,0.5085059844815533
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.1260383982268608,0.18287501146010002,0.6133912254539795,0.68949518611616,0.06408136778137256,0.11615528790366138,0.49482397772472075
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.1118265009236477,0.6883138554878805,0.5948997236281436,0.69351554085914,0.06801618664122311,0.13129745568948492,0.49774045255607224
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.1018671299021411,0.7000070146498629,0.5771180575121269,0.6959853515136445,0.07547247183016237,0.13383117670055283,0.49476648442907223
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0801209373529368,0.8432665198392544,0.2783734571782101,0.6907932792416851,0.27688064470347545,0.40798394140709504,0.2846853257532172
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.1068597921963584,0.8411514365958225,0.0,0.6616371692473854,0.2536144586932941,0.4995978820033124,0.322984464958809
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0293799214528782,0.8941354731766018,0.0,0.7843167161463347,0.52803101169176,0.6703281921074311,0.3484295520040704
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.1282841777693575,0.7567589095096426,0.5805289080962199,0.6937290725483449,0.11028037050484694,0.1609079838848271,0.38390423069446233
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.1131654670227706,0.7721158559395542,0.39281105204830474,0.6936519508175347,0.15865950422543695,0.2637009730863968,0.3274995313845626
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.1034542787651473,0.7926081621360856,0.34028209307222607,0.6934696474667931,0.2000971325480219,0.3268433677675366,0.3056572202336966
