model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.3285801457661972,0.7609252405718324,0.0,0.09810203046395648,0.8690240669835632,0.7286657415725787,0.564397201505051
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.3359439307890872,0.7585651429151855,0.0,0.09403028276414237,0.7855322164163543,0.5150617158012581,0.515355296049889
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.3679900166775999,0.761335235007532,0.0,0.20711346183755566,0.9719364671679813,0.5060704330622757,0.6613771852259952
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.4460054003455824,0.7782812863862361,0.0,0.20549634744262893,0.9900764869991865,0.6997903354470847,0.5320025130352174
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.3134188939488312,0.7751410780877676,0.0,0.11621988722555492,0.87639825652524,0.7286657415725787,0.42404896304187206
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.2971408000542243,0.7733596193217648,0.0,0.11177918756383848,0.7932085212810245,0.515060731023443,0.3588626307412274
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.3922758765905801,0.7774377173443021,0.0,0.2137776655183137,0.9815919289005546,0.5060693663896094,0.49980624234840404
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.2735498357516037,0.7655172476051167,0.0,0.205765833122986,0.9916692725554273,0.6997903354470847,0.48833416869552576
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.2654967786002805,0.7747699215800051,0.0,0.21783869139812367,1.0,0.6997903354470847,0.3864476733774792
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.6957500712741228,0.7807137428014812,0.0,0.23706422152399673,0.9924848291022497,0.6997903354470847,0.9733186261525003
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.679678470206331,0.7795204012299648,0.0,0.23812645585413056,0.9917068659371912,0.6997903354470847,0.9401217248660082
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.6022975625056214,0.7794824880145967,0.0,0.2322341210880415,0.992352770434862,0.6997903354470847,0.8794106038823046
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.6049540525984913,0.7792624064229497,0.0,0.23605676535558176,0.9902379218016887,0.6997903354470847,0.8359795937004796
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.5731385758928793,0.7786309433267475,0.0,0.19111533511817722,0.8734873521052173,0.7286657415725787,0.7411028052921529
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.5754328963042726,0.7784034640345401,0.0,0.20365745404319271,0.7915946808553075,0.515060731023443,0.7031136967152078
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.5843649260009759,0.7791930529802032,0.0,0.23266790948065333,0.9761748759970404,0.5060704330622757,0.7751131362841711
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.5613088544182174,0.7789304346103387,0.0,0.24520768713338836,0.9872550280986695,0.6997903354470847,0.7638800663756977
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.5419362614187461,0.7791151459461857,0.0,0.2531840921383767,0.9869046434134746,0.6997903354470847,0.6897932435155323
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.4131347353180792,0.7542096311216643,0.0,0.21495328576345024,0.9922049571520974,0.6997903354470847,1.0
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.5144647140819965,0.7786770633661728,0.0,0.232889960029059,0.9863710445365598,0.6997903354470847,0.5884225534070046
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.2967653966952396,0.6793356543330668,0.0,0.21000188742064438,0.8824836867977334,0.6790695145417491,0.3259620511418749
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.2724313058331475,0.6748449033261912,0.0,0.13407592638035437,0.8987650918840262,0.7747094312198554,0.30163634357418334
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.2421592302924653,0.6755739235985231,0.0,0.24052588770188024,0.9527552122902025,0.7040662966659549,0.25319721076004026
