,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
86,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,8270.197100000001,0.030648574588317046,4.119650889078678,R10LATIN_AM
87,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,6538.8391,0.03077670371070085,3.257205842392489,R10LATIN_AM
88,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,6324.713000000001,0.023287839334597604,3.150542752314509,R10LATIN_AM
89,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,4902.579300000001,0.02291841826405774,2.442132264541038,R10LATIN_AM
90,REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,5208.428600000001,0.017231370406876882,2.5944856275182144,R10LATIN_AM
91,REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,8705.3959,0.029011704999413343,4.3364373938822895,R10LATIN_AM
92,REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,10716.717700000001,0.03979611819136075,5.338341404319155,R10LATIN_AM
93,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,9567.9913,0.03509637059466961,4.766123876992248,R10LATIN_AM
94,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,6545.5967,0.023927703958913176,3.2605720200677513,R10LATIN_AM
95,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,21413.531900000005,0.07862065291697704,10.666768235807783,R10LATIN_AM
96,WITCH 5.0,EN_INDCi2030_500f,6496.049773277372,0.021125263049805214,3.2298815918627186,R10LATIN_AM
97,WITCH 5.0,EN_NPi2020_400f,7991.598284967582,0.026185727096836104,3.9734788203686895,R10LATIN_AM
98,WITCH 5.0,EN_NPi2020_450,10406.506151695226,0.03505285091537035,5.174187980091293,R10LATIN_AM
99,WITCH 5.0,EN_NPi2020_450f,8007.34501049049,0.02616901782979309,3.9813082029432776,R10LATIN_AM
100,WITCH 5.0,EN_NPi2020_500,9998.752975956873,0.033399033746194934,4.971450236030502,R10LATIN_AM
101,WITCH 5.0,EN_NPi2020_500f,8055.574933491285,0.026246806467135526,4.005288459547536,R10LATIN_AM
102,IMAGE 3.2,SSP1_SPA1_19I_D,15774.655617436505,0.05996233684668816,50.47363660391722,R10INDIA+
103,IMAGE 3.2,SSP1_SPA1_19I_D_LB,1483.3388224162882,0.005638440818269308,4.746189488939795,R10INDIA+
104,IMAGE 3.2,SSP1_SPA1_19I_LI,9591.114083594464,0.03645757012785835,30.68836611221875,R10INDIA+
105,IMAGE 3.2,SSP1_SPA1_19I_LIRE,15145.406317495312,0.07124681910257695,48.46024871965846,R10INDIA+
106,IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,807.888594823342,0.0038004587901959105,2.5849740457401666,R10INDIA+
107,IMAGE 3.2,SSP1_SPA1_19I_RE,6485.966311967839,0.02465433833906344,20.752928912987194,R10INDIA+
108,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,1352.0558880148312,0.0051394104923013365,4.326127886076615,R10INDIA+
109,IMAGE 3.2,SSP2_SPA1_19I_D_LB,1650.7089498710054,0.007765243102564302,5.2816965262194975,R10INDIA+
110,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,924.8783440172673,0.004350800413454115,2.9592901505461486,R10INDIA+
111,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,1363.1067231767704,0.006412308530243685,4.361469079834938,R10INDIA+
112,IMAGE 3.2,SSP2_SPA2_19I_D,7384.664461366558,0.03473884041027312,23.628366851675608,R10INDIA+
113,IMAGE 3.2,SSP2_SPA2_19I_LI,11166.757824321254,0.052530513740834034,35.72975479078907,R10INDIA+
114,IMAGE 3.2,SSP2_SPA2_19I_LIRE,10954.183127289161,0.05153052267636616,35.04958943579763,R10INDIA+
115,IMAGE 3.2,SSP2_SPA2_19I_RE,6004.262283195008,0.028245170830515278,19.21155831022786,R10INDIA+
