model,scenario,flexibility_score,region
WITCH 5.0,ENGAGE-INDCi2030-900,36.96227138468679,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,36.776328578494585,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,37.08532060109132,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,36.885683022477565,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,38.915568184591294,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,39.07587564348708,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,39.03820593315753,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,39.1213357416145,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,39.12481964154457,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,38.97815467930262,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,38.84631914837431,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,38.882111839008424,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,38.920049429823365,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,38.9250907739295,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,38.21261674935068,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,39.36698306102901,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,37.689616580110766,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,39.08036941349139,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,39.06892162838018,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,39.23897234527845,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,38.44799679892709,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,39.78225242559422,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,38.948425511222986,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,39.486604372812074,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,39.49393022822596,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,39.22373374152926,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,39.18998459685937,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,36.83703102297522,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,36.64860313526154,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,38.295499792708355,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,38.07829235059416,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,38.056568506052145,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,36.823621921690766,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,37.21993898115846,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,36.25059628545685,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),38.19490532697036,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,35.73654204699918,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,37.789304918060694,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,37.96616669260684,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,37.95430793297885,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,38.0125035460148,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,38.12031402119857,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,38.29582527879542,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,38.34993799344107,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,38.345458554206054,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,38.247196973320584,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,38.41052978561199,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,37.722984849481556,R10INDIA+
