model,scenario,final_demand_reduction,electrification,transition_speed_score,Region
WITCH 5.0,ENGAGE-INDCi2030-1000,0.07477539397957521,0.6129999566857018,0.6877753506652771,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.06472423203210591,0.5360597210870379,0.6007839531191438,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.05530536451506715,0.5252628077564795,0.5805681722715467,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.06472423203210591,0.50717218465637,0.5718964166884759,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200,0.04601401080165169,0.44779478808911677,0.49380879889076845,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.06472423203210591,0.44276529328288017,0.507489525314986,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.03750255971593262,0.42905272626914026,0.4665552859850729,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.06472423203210591,0.4062413265101579,0.4709655585422638,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400,0.016936856885655903,0.3384749395483249,0.3554117964339808,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.06472423203210591,0.3634760582121583,0.4282002902442642,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.016168034608099447,0.33814383760924444,0.3543118722173439,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.06472423203210591,0.36047019732008145,0.4251944293521874,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.06472423203210591,0.2834217729737007,0.3481460050058066,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-500f,0.12200191367384984,0.6076950216854083,0.7296969353592582,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.1077494254974691,0.6774526006538416,0.7852020261513107,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.06472423203210591,0.64952370602525,0.7142479380573559,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.09611512918429095,0.6500126647216955,0.7461277939059865,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.06472423203210591,0.5668982221448696,0.6316224541769755,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.11166490441313924,0.6348903178741604,0.7465552222872996,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.06472423203210591,0.5648690400671655,0.6295932720992714,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.08197748511056915,0.6254456648958385,0.7074231500064077,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.06472423203210591,0.602132172930902,0.6668564049630079,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.10303890790805507,0.5953541266725115,0.6983930345805666,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.06472423203210591,0.5676349565756961,0.6323591886078019,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.06963146803355584,0.6098690426049669,0.6795005106385227,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.06472423203210591,0.5434977007926898,0.6082219328247956,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.027132096435042972,0.1655283413503479,0.19266043778539088,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.009134527456683883,0.29245712937614876,0.3015916568328326,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.01668678300891488,0.032333618026639414,0.049020401035554294,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,0.0612054541358117,0.0612054541358117,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,0.13654964371294945,0.13654964371294945,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.028550242853736998,0.26084225124486665,0.2893924940986036,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.005349360357631751,0.05841261453118526,0.063761974888817,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,0.022874162346437785,0.022874162346437785,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,0.0300458281544126,0.0300458281544126,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,0.08815922539766342,0.08815922539766342,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,0.21098056310598712,0.21098056310598712,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,0.33008304662619536,0.33008304662619536,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.0,0.3237102546775584,0.3237102546775584,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,0.2340325158061006,0.2340325158061006,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.004639012203140915,0.22973687198561354,0.23437588418875446,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,0.3413826553916067,0.3413826553916067,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.002607152330930224,0.35728812799767246,0.3598952803286027,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,0.08643143697487303,0.08643143697487303,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.0,0.31606205201582427,0.31606205201582427,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,0.09909749298633751,0.09909749298633751,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,0.12196701739717884,0.12196701739717884,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,0.33890199218441897,0.33890199218441897,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,0.2860453358232459,0.2860453358232459,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.0007879408610559867,0.30009338075357916,0.30088132161463516,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.0018185803990468307,0.17103175753017022,0.17285033792921706,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,0.2959504899170473,0.2959504899170473,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,0.1762048459430743,0.1762048459430743,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,0.1200946787690814,0.1200946787690814,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.0,0.30014873473387715,0.30014873473387715,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.0,0.34802818460465273,0.34802818460465273,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.014526644968499217,0.3799191134281987,0.3944457583966979,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.0,0.2645599167728886,0.2645599167728886,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.0,0.36822853296467706,0.36822853296467706,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.0644234933355431,0.33517418138549615,0.39959767472103924,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.04380283535057561,0.3202235496623776,0.3640263850129532,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.043376186658481516,0.32087845314948676,0.3642546398079683,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.06312236307309756,0.3722838626775845,0.43540622575068205,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.03546958351739944,0.3398977397279046,0.37536732324530403,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.028438589316860396,0.30019255108666126,0.32863114040352165,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.025900666748838296,0.2981044350506093,0.3240051017994476,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.03819424500678558,0.37070261982677427,0.40889686483355986,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.02928065529651078,0.3503915583722987,0.3796722136688095,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.016884345826779116,0.33038468979799424,0.34726903562477335,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.08227648737478134,0.3720315795110884,0.4543080668858697,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.07938122503186336,0.3670071815473636,0.44638840657922696,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.0731851994925317,0.3568749306657527,0.4300601301582844,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.06835691593391739,0.3448763033856804,0.41323321931959783,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.059007835371713634,0.3643607303989307,0.4233685657706443,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.05858112014228877,0.45317033709700133,0.51175145723929,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.07573764699595975,0.37441421529050856,0.4501518622864683,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.06131482349865078,0.3164518959757266,0.37776671947437734,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.05406475745384123,0.3256147933446885,0.3796795507985298,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.08402806120862276,0.4479409543309061,0.5319690155395288,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.04366927077007047,0.33205143520862623,0.3757207059786967,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.0,0.3692084054206722,0.3692084054206722,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.002432983137774938,0.28992202689699464,0.2923550100347696,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.0005461765610360412,0.3192418710630864,0.31978804762412244,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0,0.4092749312247555,0.4092749312247555,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.06948978884213756,0.6248843436804654,0.6943741325226029,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0,0.24360984803163083,0.24360984803163083,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.238111953232317,0.238111953232317,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.009957966696192264,0.38808027595862293,0.3980382426548152,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.011199032088198642,0.38469731845521465,0.3958963505434133,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.0,0.2661120679140867,0.2661120679140867,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.0,0.2681239542074731,0.2681239542074731,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.011583657482671844,0.4257774903626045,0.43736114784527635,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.03769048191156375,0.5905591209313912,0.628249602842955,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.02911848866901919,0.6402580156449837,0.669376504314003,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.023287113630894047,0.6939601633684089,0.717247276999303,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,0.05979830216860053,0.34756439741380807,0.4073626995824086,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.0594040755556328,0.3350973669423391,0.3945014424979719,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.04647284757398734,0.3031349843844796,0.34960783195846695,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.04491027071996342,0.28516530283582725,0.33007557355579065,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,0.04214465140282514,0.27741505883468154,0.3195597102375067,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.041890289932269786,0.26514876768334095,0.30703905761561073,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.03693146165461996,0.2511748947546209,0.28810635640924087,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.03613626736557477,0.23863023912924994,0.2747665064948247,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,0.03005300942263316,0.21549146349636736,0.24554447291900053,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.03015329077623528,0.21037810995631598,0.24053140073255125,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.02869504460579562,0.2056850085188643,0.2343800531246599,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.021728380705259325,0.19745387181316398,0.2191822525184233,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.014331487087052893,0.14736342563963967,0.16169491272669256,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,0.09728008304307348,0.6278886139448184,0.7251686969878919,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,0.0857220012000687,0.5316848802958796,0.6174068814959482,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.08117962105340094,0.5074703879372963,0.5886500089906972,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,0.07326167123520037,0.448271135366608,0.5215328066018083,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.06941920619911204,0.40805092478735194,0.47747013098646396,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,0.094129835657115,0.6249630316444996,0.7190928673016146,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.09190315697163622,0.5843530339173297,0.6762561908889659,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f,0.06285366235068629,0.3822155353734215,0.4450691977241078,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.0610362912929833,0.34320066354114676,0.40423695483413,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900,0.07358270169520258,0.46343414564932556,0.5370168473445281,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.07058682001775034,0.412943157779415,0.48352997779716533,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f,0.056599517468884475,0.3320453188641141,0.38864483633299857,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.054923287598312526,0.3139591015745365,0.368882389172849,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.04916025150846017,0.240227303058144,0.28938755456660414,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.030927704050552784,0.25745489308348285,0.28838259713403563,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.039451915378504857,0.04945951610756557,0.08891143148607042,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.016545267418117265,0.09151378360631032,0.10805905102442759,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.016752421574142175,0.18149510283194903,0.1982475244060912,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.048196777316217035,0.2088563847742591,0.25705316209047613,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1000,0.03307059291686643,0.13561624244831014,0.16868683536517656,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1200,0.01978801404585484,0.07458778056296851,0.09437579460882335,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400,0.012976211583087824,0.12036210597500024,0.13333831755808806,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.008238524458349198,0.15750980508143553,0.16574832953978472,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.006086561338456789,0.27181270213647246,0.27789926347492927,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0059745262323447085,0.5145963932070922,0.5205709194394369,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.010005385647312811,0.5651734678704273,0.5751788535177401,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0008318680582775292,0.2161134110667587,0.21694527912503622,R10AFRICA
