,model,scenario,total_CDR,total_CDR_gdp,total_CDR_land,region
102,IMAGE 3.0,ENGAGE-NPi2020-1200,11543.955216240214,0.04159396972588831,23.080892687058927,R10INDIA+
103,IMAGE 3.0,ENGAGE-NPi2020-1400,10618.324120251647,0.038258832759164293,21.230193200260757,R10INDIA+
104,IMAGE 3.0,ENGAGE-NPi2020-1400f,10921.219203563567,0.03935019258250045,21.835799232370533,R10INDIA+
105,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,15774.655617436501,0.05996233684668815,50.473636603917214,R10INDIA+
106,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,15145.406317495312,0.07124681910257695,48.46024871965846,R10INDIA+
107,IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,6485.966311967841,0.024654338339063445,20.7529289129872,R10INDIA+
108,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,5003.853972453268,0.01902055960551237,16.01066376026009,R10INDIA+
109,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,4807.6162088585825,0.01827462415258883,15.382768368572723,R10INDIA+
110,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,510.710189124795,0.002402476083879312,1.6341022663790967,R10INDIA+
111,IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,6269.818654589999,0.023832721756449335,20.06132850180497,R10INDIA+
112,IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,6922.594229126355,0.03319837883835365,22.14990225579199,R10INDIA+
113,IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,6004.262283195009,0.02824517083051528,19.21155831022787,R10INDIA+
114,IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,13597.798648831002,0.06396658367675566,43.50824286339225,R10INDIA+
115,IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,5584.921201548312,0.02627251208765614,17.869812186898514,R10INDIA+
116,IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,4335.811043946779,0.020396464686073753,13.873092607238478,R10INDIA+
117,IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,10541.336161193043,0.04958841346556737,33.72862223145763,R10INDIA+
118,IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,867.0531385135121,0.004182835077114433,2.774269534367276,R10INDIA+
119,IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1203.2846866472087,0.005804882274795154,3.850093955093852,R10INDIA+
120,IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,972.4795257484749,0.004691432729313554,3.1115974341610517,R10INDIA+
121,IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,632.5429914811723,0.0030515119489520318,2.0239183419049565,R10INDIA+
122,IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,430.12195287185614,0.0020749929986918826,1.3762411747458914,R10INDIA+
123,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,4783.915958560089,0.012650920921087144,11.586501775449673,R10INDIA+
124,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,4549.834079578804,0.012022346309823727,11.019562445847907,R10INDIA+
125,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,5026.620555402906,0.013205957536610132,12.174325070546919,R10INDIA+
126,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),4145.611773909352,0.010919995987368985,10.04054807709943,R10INDIA+
127,MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,5207.173080027619,0.013899748639169308,12.611617900364068,R10INDIA+
128,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,3158.8572787106577,0.01188200971155423,6.150674783913561,R10INDIA+
129,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,2691.249483591372,0.01195333507552019,5.240186205152719,R10INDIA+
130,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,2668.0114241302554,0.011850121934955863,5.194938910405387,R10INDIA+
131,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,3369.893976813609,0.012675822117468654,6.561588599567813,R10INDIA+
132,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,2712.2450275481283,0.010202082244942545,5.281067052685684,R10INDIA+
133,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,2425.1501622260153,0.01077144005945352,4.722058844043687,R10INDIA+
134,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,2421.1940196216647,0.01075386863084957,4.714355758905229,R10INDIA+
135,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,3314.4521714509074,0.012467278327223531,6.453636740989954,R10INDIA+
136,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,2725.54761231547,0.01025211978302937,5.3069687840620245,R10INDIA+
137,POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,2534.1929727256834,0.009532341241187542,4.934378301914581,R10INDIA+
138,POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,3531.2591259539668,0.01328279549423822,6.875785939380885,R10INDIA+
139,POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,3518.5802858532006,0.013235104165407423,6.851098713838082,R10INDIA+
140,POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,3395.003044372851,0.012770269621190242,6.610478971958188,R10INDIA+
141,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,3351.725944763476,0.01260748324862694,6.526213257554989,R10INDIA+
142,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,3065.7550627053324,0.013616722547434188,5.969393579419206,R10INDIA+
143,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,3205.9021213710844,0.014239193545494461,6.24227674688125,R10INDIA+
144,POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,3380.897104865366,0.01271721027237188,6.583013012347784,R10INDIA+
145,POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,3132.9474757373873,0.011784550249669798,6.100225283431884,R10INDIA+
146,POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,3019.86226010924,0.011359181354600473,5.8800347769201835,R10INDIA+
147,POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,3647.459006226116,0.013719880168870519,7.10204107230522,R10INDIA+
148,POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,2810.1167546570837,0.010570225756785491,5.47163506854515,R10INDIA+
149,POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,2654.784503456222,0.009985945064610771,5.169184506112766,R10INDIA+
150,POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,2370.004023049144,0.010526505398538041,4.614682683065685,R10INDIA+
151,POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,2159.240351937367,0.008121960749607388,4.204300483778295,R10INDIA+
152,POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,2955.864305427661,0.01111845369521204,5.75542306725703,R10INDIA+
153,REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,1797.7035,0.010361083912830495,5.794241804130706,R10INDIA+
154,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,267.7915251,0.0018345376960745348,0.8515061295754802,R10INDIA+
155,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,266.5447432,0.0018252758400355527,0.8475416933234469,R10INDIA+
156,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,691.5431834000001,0.00476395576076797,2.1989241792149627,R10INDIA+
157,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,638.2182428000001,0.004384354384394431,2.0293649903526845,R10INDIA+
158,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,884.4714410999999,0.006074538394528069,2.8123849447807197,R10INDIA+
159,REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,913.9133756000001,0.006281762107978326,2.906002499271842,R10INDIA+
160,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,905.6963231999998,0.0047528260735522744,2.8798744487929095,R10INDIA+
161,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,1176.8619208999999,0.006277323636853692,3.7421092356679804,R10INDIA+
162,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,2813.0534843,0.014880666433056302,8.944765088479313,R10INDIA+
163,REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,3199.8267571000006,0.017328644438648698,10.174601665354501,R10INDIA+
164,WITCH 5.0,ENGAGE-INDCi2030-1000,1930.8478739054735,0.009746205704004633,6.12216156966299,R10INDIA+
165,WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1927.811190694399,0.009729475271948288,6.11253312326629,R10INDIA+
166,WITCH 5.0,ENGAGE-INDCi2030-1000f,1916.837430396264,0.009643483432527083,6.077738495227548,R10INDIA+
167,WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1910.3213314927716,0.009605443726132487,6.057077825461579,R10INDIA+
168,WITCH 5.0,ENGAGE-INDCi2030-1200,1894.985502230579,0.009523014036577829,6.008452335169585,R10INDIA+
169,WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1892.030032903052,0.00950690415551383,5.999081394567876,R10INDIA+
170,WITCH 5.0,ENGAGE-INDCi2030-1200f,1888.1497742433473,0.00947092149793517,5.986778213790228,R10INDIA+
171,WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1882.8571887613616,0.009441379643132101,5.969996952107281,R10INDIA+
172,WITCH 5.0,ENGAGE-INDCi2030-1400,1853.0388247361655,0.009278644347125527,5.875451522209672,R10INDIA+
