model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops,region
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,-0.001572338071857228,0.11441555917261564,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,-0.001225645481766402,0.13815739559114545,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,-0.0014875590295831062,0.1371631294589042,0.01949999181043527,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,-0.0003550196591187646,0.12883508262416438,0.027841234544067728,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,-0.0018783463345996149,0.185833191198171,0.027856603790842427,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.0,0.12211590696830471,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.0,0.16415576458479658,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.0,0.14364293330454236,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.0,0.13908282225468105,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.0,0.13437216893263387,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,-0.010643132866508219,0.29744723930825834,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,-0.010759254980067447,0.2982509606609084,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.0,0.13634224358621616,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.0,0.16074986386889567,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.0,0.16580108515574987,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.0,0.1355305938647925,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.0,0.14921326317179767,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.0,0.14210666345130835,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.0,0.19601986465727367,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.0,0.15446415871243996,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.0,0.1865098571715636,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.0,0.15787955398871217,0.0,R10LATIN_AM
