model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.19339738009367252,0.6571509735590629,0.25743403549497146,0.4688017510377653,1.5767841401854723
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.25087646136723313,0.4093185703854314,0.35475622519405975,0.22792942773884817,1.2428806846855724
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.24057901797029949,0.4139630120049671,0.3066916215083695,0.24922917472493258,1.2104628262085686
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.27013121480852165,0.6446296856359752,0.5859802371142757,0.8995301334774382,2.400271271036211
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.5702887643944159,0.587670380495616,0.6708873942704369,0.8964621224219036,2.725308661582372
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.2767688893422105,0.5168301005407805,0.534437825252624,0.5659944142615144,1.894031229397129
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.6214398171542918,0.396103187119039,0.6838128884137776,0.4351175796631842,2.1364734723502927
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.2204341580516882,0.5207923619057369,0.4836908133393138,0.5898518612355647,1.8147691945323037
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.21819562088988298,0.6679510065840512,0.5524290355607445,0.952229806056551,2.39080546909123
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.20853554592936324,0.6062086152089463,0.4505878885980458,0.8385087082527458,2.103840757989101
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.5160461644745977,0.625944293510358,0.5687776515748857,0.9928889023402797,2.703657011900121
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.5010537196097361,0.42591021932124645,0.5262369795443035,0.52992888757259,1.983129806047876
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.45057190909094463,0.5791223524244072,0.5320043643372443,0.8410415177720472,2.4027401436246434
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.40407125884818085,0.55243678280217,0.4525716533554665,0.7446377710878533,2.1537174660936707
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.8989162778319365,0.22010606932041063,0.6928022438479334,0.23176841088254602,2.0435930018828268
