model,scenario,final_energy_demand,energy_per_gdp,region
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,2758.0192500000003,8.675206355573046e-05,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,2860.0160499999997,9.037120121704019e-05,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,2371.69559706085,6.965184168821456e-05,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,2421.475058129072,7.055235392889071e-05,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,2396.3586982726742,6.961961900724965e-05,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,2434.323924718948,7.075354769082935e-05,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,2390.776225115335,6.939049848049082e-05,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,2449.531148688413,7.104441594838907e-05,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,3668.5017792968747,8.759807010512103e-05,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,3373.076857421875,8.05437862110115e-05,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,3228.19554296875,7.708424760263186e-05,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,3787.019210937501,0.00010606263155901067,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,3594.4243203124997,0.00010066864758726034,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,3703.3099062499996,8.842923359597048e-05,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,3422.61159375,8.172659804171516e-05,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,4027.5518925781253,0.00011279920398438128,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,3602.0249707031253,0.0001008815181688675,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,4052.80302734375,0.00011350640974540787,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,4222.349720703125,0.00011825488538500524,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,3692.741767578125,0.00010342221354621806,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,4209.930685546876,0.00011790706682990222,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,4202.565019531249,0.00011770077742990503,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,6016.108792200626,0.00014303931051142215,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,6034.444782935277,0.000143343057952132,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,5745.845675973997,0.00012016083785864878,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,6349.850646741782,0.00014886145862911095,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,6367.036065209023,0.00014916123966541247,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,5772.006004431045,0.00012054189578841457,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,5685.594162178587,0.00011862203514790513,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,5814.370313721592,0.00012064497872820068,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,5941.182363439685,0.0001226736055450257,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,6067.477707400262,0.00012570579578198929,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,5995.5456025194435,0.00012360359036060067,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,6184.6351276706,0.00012737256370157432,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,6057.904710131061,0.00012469228168574862,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,6289.502852896593,0.00012887788479526408,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,6824.519502951979,0.00015720675042803274,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,6124.385080737026,0.0001262945557846113,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,6384.569754585267,0.00013051885793989755,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,6359.029264626392,0.00013001722190058248,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,6335.697778918154,0.00012960780697687934,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,6320.654533758539,0.00012939392582336602,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,6143.950325436859,0.00012619649808017936,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,6693.498230764676,0.0001546807513775435,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,5313.536181916242,0.00011540486807306373,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,6425.217330378505,0.00013098277580714693,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,6376.686738944149,0.00013008823502654826,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,6301.870130422928,0.00012875271681362196,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,6230.290258832694,0.00012757997100630876,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,6376.09432009906,0.00013033300929481877,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,6911.776423760691,0.00015889487397900207,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,6232.423740090169,0.00012776689613939532,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,6786.573217919123,0.00015655609129703823,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,6654.27261707,0.0001381159139088501,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,6853.73481272,0.000141603151461891,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,6517.9311,0.00021622285516634382,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,5954.9286,0.0002009394918701292,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,6643.22835,0.00021965452186149608,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,6130.3956499999995,0.00020496670265392824,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,6482.8593,0.00021466932805524555,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,6374.75955,0.00021180426830759135,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_Bridge,6024.002100000001,0.0002008672608208624,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,5838.94565,0.00019764428092713753,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,6023.0657,0.00020175394922839008,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,5759.063099999999,0.00019467427977174964,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,5858.885900000001,0.00019784999263080432,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,5258.177100000001,0.0001867449865730824,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,6374.75955,0.00021180426830759135,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,6482.8593,0.00021466932805524555,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,6055.33675,0.00020141049989800497,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,6180.6026,0.00020566273783824868,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,5615.8195,0.0001941630021255225,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,5944.14345,0.0002002908940721313,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,5601.00675,0.00019243807967908642,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,5709.6481,0.00019536541668775114,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,4087.00825,0.0001118516382225406,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,3885.7202499999994,0.00010689424993126195,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,5328.527050000001,0.00017003111655092103,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,4678.1956,0.0001513133312710721,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,5071.1120999999985,0.00016224696339835722,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,5094.8803,0.00016280443184332825,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,5108.106000000001,0.00016307959192295968,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,5007.0427500000005,0.0001806708592279144,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,5014.825849999999,0.00018076218089374378,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,5124.79215,0.0001634560452921908,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,5023.8907,0.00017906020952810804,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,5030.0289,0.00017927070406560815,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,5129.827549999999,0.0001636392684789503,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,5034.7255,0.00016104358005379776,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,5046.6157,0.00016128829321662846,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,5018.756149999999,0.00016126292665902134,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,5064.38375,0.00016172210647242706,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,5021.2444000000005,0.00016084445819183798,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,5077.7141,0.0001620281021057083,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,5022.578600000001,0.0001605282641036208,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,5063.93845,0.000180604247965915,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,5103.401750000001,0.00016267987694507967,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,5030.54965,0.0001791765805396121,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,3726.50475,0.00010180117655491748,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,4173.80635,0.00011434946550590325,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,5088.4489,0.0001625202416180882,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,4387.65235,0.0001386216416640998,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,4908.2862,0.00015438759405762476,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,4561.19545,0.00014412531419262428,R10INDIA+
WITCH 5.0,EN_INDCi2030_500f,2268.6641186597208,6.662601820926916e-05,R10INDIA+
WITCH 5.0,EN_NPi2020_400f,2286.617966819189,6.662314342392401e-05,R10INDIA+
WITCH 5.0,EN_NPi2020_450,2329.9947817914694,6.769159772037772e-05,R10INDIA+
WITCH 5.0,EN_NPi2020_450f,2347.4729201607306,6.82292259969875e-05,R10INDIA+
WITCH 5.0,EN_NPi2020_500,2273.5994478707767,6.598952983360499e-05,R10INDIA+
WITCH 5.0,EN_NPi2020_500f,2381.735014702789,6.907810629556169e-05,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D,3835.6622983398443,9.158960118425847e-05,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_D_LB,3667.4003476562502,8.757176964463988e-05,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LI,3496.71346862793,8.34960346185517e-05,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LIRE,4149.215252197266,0.00011620661634929555,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,4008.150272460938,0.00011225582493835112,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_RE,3906.1098806152345,9.32717789838502e-05,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,3759.937518066406,8.978141217136971e-05,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_D_LB,4713.362930908204,0.0001320066384931433,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,4004.8093017578126,0.0001121622547384135,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,4372.651187500001,0.0001224643620757003,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_D,4800.163883300781,0.00013443766324369006,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_LI,4337.205112304688,0.00012147162773656747,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_LIRE,4534.682525634766,0.0001270023559860472,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_RE,4496.687492187501,0.00012593823325280344,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,3536.9267032335324,8.409415029459633e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,3545.944280474873,8.423086377863911e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,4211.912031044697,8.808222621667648e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,3710.3405177571926,8.698262875953387e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,3720.06869109383,8.715044989867314e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,4229.571706127781,8.83298789776532e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,4334.35802264428,9.043036752885365e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,4413.499089709169,9.157767308668049e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,4493.069858577355,9.277296096971733e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,4631.685662705649,9.595910526911726e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,4522.1756879196355,9.322873818746399e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,4658.54549607845,9.594274693767157e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,4535.699810635025,9.336012788115701e-05,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,4713.944634608271,9.659320104616961e-05,R10AFRICA
