model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score,Region
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.3714383981456409,0.1930351630322767,0.0,0.687004334046573,1.2514778952244905,R10PAC_OECD
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.37478682106575856,0.28913885110847176,0.0,0.6247926008688353,1.2887182730430657,R10PAC_OECD
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.36208898044025933,0.21017521688852883,0.0,0.6744942914307535,1.2467584887595415,R10PAC_OECD
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.3600786416540817,0.1911651564429298,0.0,0.644093435465159,1.1953372335621704,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.04882091754390916,0.8455243120661275,1.0,0.7308776874487966,2.6252229170588333,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.03734988859208376,0.9457746059680257,1.0,0.8416412353295668,2.824765729889676,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.2014061140674515,0.73737896689241,0.0,0.8151475859509284,1.75393266691079,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.1676191782366139,0.6607051591894454,0.0,1.0,1.8283243374260594,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.22698215338423763,0.44100931978706664,0.0,0.6830034039540878,1.350994877125392,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.22374242001917796,0.47180733046791645,0.0,0.6673427347303379,1.3628924852174324,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.21910613544662505,0.49587977461351385,0.0,0.656679059458584,1.3716649695187229,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.2654994354134418,0.5803416001294213,0.0,0.7317675737579119,1.5776086093007748,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.2620575715447894,0.5677116396757524,0.0,0.7096065943842907,1.5393758056048328,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.21492016862257873,0.5333654468384713,0.0,0.6443269325732947,1.3926125480343448,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.26129728074605413,0.5796849276433835,0.0,0.6170750409447827,1.4580572493342203,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.26179173174747944,0.5773380991600058,0.0,0.6033473849330342,1.4424772158405195,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.21612875087364866,0.5383691650977902,0.0,0.6420996974212532,1.396597613392692,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.2169848692011669,0.6129458804489586,0.0,0.7368958871068753,1.5668266367570007,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.21229569552784616,0.6405045300482063,0.0,0.7194931580347518,1.5722933836108042,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.19383386401455266,0.7600743156173378,0.0,0.8568181317906768,1.8107263114225671,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.20946708902798014,0.6612812963237537,0.0,0.70347198382091,1.574220369172644,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.1936343304079469,0.7353524847590527,0.0,0.0,0.9289868151669995,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.20859358309902623,0.6781049474083158,0.0,0.6806338368607131,1.567332367368055,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.19864138567303002,0.7048293203508333,0.0,0.7180141525480241,1.6214848585718875,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.25509684769717206,0.681577914522026,0.0,0.6805419963963786,1.6172167586155766,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.20660477528528268,0.6863261961897864,0.0,0.6556555161841221,1.548586487659191,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.25858392060970975,0.6574472479561815,0.0,0.6343283734244709,1.5503595419903622,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0,0.7150878224408762,0.0,0.6441860810919354,1.3592739035328116,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.05414519830333777,0.8999331540405754,1.0,0.7083121139481473,2.6623904662920603,R10PAC_OECD
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.19457279123731774,0.7567411454806214,0.0,0.75713498269128,1.7084489194092192,R10PAC_OECD
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.08598378897640988,1.0,0.0,0.64044421850836,1.72642800748477,R10PAC_OECD
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.14083898969277547,0.5331413313627809,0.0,0.5373152728471497,1.2112955939027061,R10PAC_OECD
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.13561271882370177,0.7561152428971769,0.0,0.5865423850820541,1.4782703468029328,R10PAC_OECD
WITCH 5.0,EN_INDCi2030_500f,0.8331665661197951,0.4850692151937397,0.0,0.46698969970067,1.7852254810142048,R10PAC_OECD
WITCH 5.0,EN_NPi2020_400f,0.8208512342734673,0.4977976930635242,0.0,0.4859822955132462,1.8046312228502377,R10PAC_OECD
WITCH 5.0,EN_NPi2020_450,0.7279588387122066,0.6210291409887773,0.0,0.4995458838953945,1.8485338635963784,R10PAC_OECD
WITCH 5.0,EN_NPi2020_450f,0.844261394307027,0.47081622710122656,0.0,0.4850621351126517,1.8001397565209052,R10PAC_OECD
WITCH 5.0,EN_NPi2020_500,1.0,0.4936921004137475,0.0,0.4870425911634232,1.9807346915771706,R10PAC_OECD
WITCH 5.0,EN_NPi2020_500f,0.8777483104416172,0.4475934378999377,0.0,0.48354860421073437,1.8088903525522892,R10PAC_OECD
IMAGE 3.2,SSP1_SPA1_19I_D,0.13193619248412347,0.31205336308760934,0.0,0.5167894862777835,0.9607790418495163,R10REF_ECON
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.08183380171982588,0.494309493277348,0.0,0.6415305185138488,1.2176738135110226,R10REF_ECON
IMAGE 3.2,SSP1_SPA1_19I_LI,0.10346458493452564,0.3220067360002163,0.0,0.4968506257322374,0.9223219466669794,R10REF_ECON
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.2539056478943343,0.3841705952380976,0.0,0.5228713968836616,1.1609476400160934,R10REF_ECON
