model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
WITCH 5.0,ENGAGE-INDCi2030-900,-0.00797942424902185,0.19001563802292692,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,-0.005012301829102846,0.18320282159065915,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,-0.005392322529444382,0.1935831134355107,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,-0.0050123018291028595,0.17727036790413236,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,-0.0021011335680476556,0.08437307502311808,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,-0.000707385893067361,0.11556962707607288,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,-0.001292239249064242,0.05163648166257678,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.0,0.05873260029770533,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.0,0.0772506919661855,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,-0.0022109560822001495,0.10779932369091899,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,-0.00041425920189816154,0.05804617629999431,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.0,0.049311537053005255,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.0,0.051074188766337625,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.0,0.06535729703728876,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.0,0.09554432012816089,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.0,0.12481732339688428,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.0,0.12325101886628481,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.0,0.10121002806972851,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,-0.00035924921194124826,0.10015424491658337,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.0,0.12759454075246573,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,-0.00020190018462620113,0.13150378712438504,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.0,0.06493264127316756,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.0,0.12137124394556442,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.0,0.06804570397401816,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.0,0.07366657469850746,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.0,0.12698484345626887,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.0,0.11399373673285712,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,-6.101883784633694e-05,0.11744646461065195,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,-0.00014083247609638153,0.08572570441471047,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.0,0.11642822507932274,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.0,0.08699714586198007,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.0,0.07320639139115306,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.0,0.11746006950954496,R10INDIA+
