model,scenario,flexibility_score,region
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,37.340604980993724,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,37.409886668228125,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,37.42783268316661,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,37.34686241612441,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,36.112917139276405,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,36.31410298215199,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,36.6768311433561,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,35.6269603296648,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,36.81377030456805,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,35.707741766870186,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,36.97201126487387,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,36.01749759503332,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,36.150084858233036,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,35.530148978535536,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,36.406496297385004,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,36.41978598996101,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,36.130995160051945,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,36.19454408620877,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,37.10604513413665,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,37.24602399371827,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,37.36309079737316,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,36.75364593995537,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,36.98505429047447,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,36.969700171132125,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,37.113434896403,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,36.463436095583,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,36.62259372268043,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,37.37743044098888,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,37.497352780132715,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,36.024046067029204,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,36.34076368133729,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,38.07127775459761,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,37.7965105482548,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,37.50979418783798,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,37.01442312620969,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,37.54604934954822,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,38.068639965174114,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_Bridge,37.93651494078361,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,37.79877747841366,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,37.07365709536781,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,37.656949313449246,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,37.653914094883405,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,35.409270795772066,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,38.068639965174114,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,37.54604934954822,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,37.97119414275635,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,37.94096307297845,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,37.48393820495888,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,37.02279992632529,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,37.39685986591663,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,37.46239752538491,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,36.228950194529126,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,35.240288981261784,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,36.733401037094886,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,35.63643998165654,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,36.33043591533867,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,36.35885540061395,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,36.40845527607171,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,35.932179009117476,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,35.945448906375155,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,36.49308128148839,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,36.52539453984526,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,36.54794693879698,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,36.49195859202491,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,35.26476823215168,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,35.36309815725363,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,33.80204558381226,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,35.52152582187303,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,34.478051503920604,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,35.63121076230996,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,35.20929988904403,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,35.44001803369379,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,35.752186570693866,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,35.81156278281472,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,35.67554993578312,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,35.221872077097686,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,35.51994394639562,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,35.068960109300704,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,37.06468448228431,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,36.57803445978235,R10INDIA+
WITCH 5.0,EN_INDCi2030_500f,38.230080219166105,R10INDIA+
WITCH 5.0,EN_NPi2020_400f,37.58617992743415,R10INDIA+
WITCH 5.0,EN_NPi2020_450,37.10238446349781,R10INDIA+
WITCH 5.0,EN_NPi2020_450f,37.65646418574192,R10INDIA+
WITCH 5.0,EN_NPi2020_500,37.24522360813801,R10INDIA+
WITCH 5.0,EN_NPi2020_500f,37.69433678256119,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D,38.61888113485744,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_D_LB,37.92172111598602,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LI,38.558079516017806,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LIRE,38.745173622273455,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,38.059648987789046,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_RE,37.9175310554224,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,37.22071413637418,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_D_LB,38.884182943735624,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,38.09306059852763,R10AFRICA
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,38.019669111199995,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_D,39.04475166995,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_LI,38.975015533486896,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_LIRE,38.21542553449239,R10AFRICA
IMAGE 3.2,SSP2_SPA2_19I_RE,38.14129129822196,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,38.2468648558168,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,38.234876688328605,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,38.264896223424245,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,38.26839493171006,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,38.25298550134904,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,38.26838467733116,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,37.664475021708064,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,37.687298471631,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,37.65084546684466,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,37.60111278781253,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,37.614299668039635,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,37.52209845296567,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,37.5810054893975,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,37.575457673663784,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,37.895322955980035,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,37.373005537022955,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,37.578560404695814,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,37.667839556329994,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,37.70785595856549,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,37.60934995895682,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,37.58468010447196,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,37.915774210941244,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,38.067136314904964,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,37.63574768731138,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,37.71389881098531,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,37.73600686686993,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,37.60532867706449,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,37.74813230744895,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,37.72196415080834,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,37.70642972896974,R10AFRICA
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,37.95993085050911,R10AFRICA
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,38.14450954015296,R10AFRICA
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,37.91385216313441,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,37.85073538946915,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,37.630543088592724,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,37.198299653180456,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,36.81725072011031,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,37.10223819685131,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,37.87027940391599,R10AFRICA
REMIND-MAgPIE 1.7-3.0,CO_Bridge,37.48285659511551,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,37.58809904893915,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,36.7168311227168,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,37.27448754712023,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,37.124290303731996,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,35.914205738765176,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,37.87027940391599,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,37.10223819685131,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,37.56359730923104,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,37.385231247664734,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,37.3779747917843,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,36.709643386753314,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,37.06256358908772,R10AFRICA
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,36.96565706690404,R10AFRICA
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,36.87404947128123,R10AFRICA
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,36.409955668869905,R10AFRICA
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,36.792280124116054,R10AFRICA
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,36.01449028271088,R10AFRICA
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,36.40294981688881,R10AFRICA
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,36.45790346473487,R10AFRICA
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,36.5567612186118,R10AFRICA
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,36.38563277450486,R10AFRICA
