model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,R10AFRICA,0.2648945556079501,1.7722490085591303,0.0,1.5981082015072023,1.8266162690322787,0.5695684563129196,0.2648945556079501,0.8814879302692195,0.0,0.6939704009015354,0.7674826127909133,0.3837190622078516
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,R10AFRICA,0.26874712146372204,1.7709212256680404,0.0,1.6179359298726594,1.778967348704487,0.6009222325857736,0.26874712146372204,0.8807970077069042,0.0,0.7032404139037639,0.7374346183743962,0.40484214494662685
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,R10AFRICA,0.22018192315370827,1.7676253647049487,0.0,1.5254252721021437,1.7837863057406378,0.5090722041680559,0.22018192315370827,0.87908197980819,0.0,0.659989115289475,0.7404735118712386,0.3429626528898409
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,R10AFRICA,0.21305609769449882,1.7688012338923254,0.0,1.5266302952057427,1.7570579470785033,0.45833356201260994,0.21305609769449882,0.8796938528465774,0.0,0.6605524970159369,0.723618280602251,0.3087799590102995
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,R10AFRICA,0.23901373844417448,1.7689569556387452,0.0,1.5134846459748306,1.7756494916516905,0.44877848686589317,0.23901373844417448,0.8797748839163153,0.0,0.654406541359938,0.7353423369646306,0.30234269157741106
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,R10AFRICA,0.19621081720940578,1.7802278100414162,0.0,1.2979959861948767,1.663782531164672,0.6023998272952668,0.19621081720940578,0.8856397641280074,0.0,0.5536596155813374,0.6647976576522192,0.4058376025601336
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,R10AFRICA,0.19488844303564057,1.768097153996067,0.0,1.4458887953026798,1.7998758216471997,0.3830601950162076,0.19488844303564057,0.8793274791801731,0.0,0.6228036061634287,0.7506197582247548,0.2580681868379686
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,R10AFRICA,0.1334279932459534,1.5994683188231025,0.0,1.3450197374234754,1.908833822600231,0.27437266901799284,0.1334279932459534,0.7915801014576608,0.0,0.5756445236488743,0.819330011925131,0.18484524921304238
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,R10AFRICA,0.1434997751841056,1.5980661430976972,0.0,1.3421258430694536,2.047286738960707,0.2775345808540916,0.1434997751841056,0.7908504679825539,0.0,0.5742915477660901,0.9066401215588983,0.18697543362034943
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,R10AFRICA,0.12006840486518072,1.598219416816662,0.0,1.2964433939539008,1.9389651645965755,0.26604347065884254,0.12006840486518072,0.7909302252014135,0.0,0.5529337356421065,0.8383312062825247,0.17923385667911243
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,R10AFRICA,0.1409513302353292,1.6013403798182733,0.0,1.3706370916638604,1.889279588162706,0.3091585608498058,0.1409513302353292,0.792554243531846,0.0,0.5876213473431496,0.8069988715098609,0.20828055298350553
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,R10AFRICA,0.353140475201667,0.8586340564711666,0.0,1.9181429003554893,1.3990321029525778,0.7654952879944603,0.353140475201667,0.4060810035026969,0.0,0.8435954998945385,0.4978427857692641,0.5157152415624403
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,R10AFRICA,0.4983978902325599,1.8132577881708474,1.1423326749250953,2.0134917743850456,1.2751575353154905,0.3386903304592401,0.4983978902325599,0.9028271802903541,0.15744512018899112,0.8881737433377811,0.41972596190207756,0.2281761472957803
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,R10AFRICA,0.5108468384078215,1.806398639477327,1.1423326749250953,2.0450304883174373,1.2737170126444501,0.3330271325367332,0.5108468384078215,0.8992579668124346,0.15744512018899112,0.9029189669376857,0.41881755061219905,0.22436084296873046
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,R10AFRICA,0.49430462465258984,1.7204756468669418,1.1457254438133253,2.106141950261508,1.2194535225376701,0.5695484631509382,0.49430462465258984,0.8545472429323893,0.15791273782534723,0.9314902705366226,0.38459832724821735,0.38370559278678196
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,R10AFRICA,0.5195054534383259,1.7205777486172815,1.147941389154977,2.172708788117197,1.2169397580838208,0.5616610258972572,0.5195054534383259,0.8546003724036567,0.15821815654294757,0.9626121136981673,0.38301311650778325,0.37839181532481
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,R10AFRICA,0.5228033939810746,1.845604432671624,4.758584572013188,2.057688771509825,1.142716605812853,0.31996666135757523,0.5228033939810746,0.9196590182743749,0.6558649124863933,0.9088370654518731,0.33620708502434704,0.21556198534711765
