model,scenario,region,economic_score,environmental_score,resource_score,resilience_score,robustness_score,transition_speed_score,economic_dimension_score,environmental_dimension_score,resource_dimension_score,resilience_dimension_score,robustness_dimension_score,transition_speed_dimension_score
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,R10INDIA+,0.1205358984157202,1.0,0.0,0.6640354089151087,1.5250578971355337,1.3068544106185918,0.1205358984157202,0.0,0.0,0.2306339473542527,0.2669942679302647,0.6872591405630294
WITCH 5.0,ENGAGE-INDCi2030-900f,R10INDIA+,0.12274152706825113,1.0000583185721186,0.0,0.6629454225185847,1.537622125050836,1.0425229366302662,0.12274152706825113,5.8318572118576384e-05,0.0,0.22986913314719068,0.27471247778888536,0.5482503725159553
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,R10INDIA+,0.12187999999454589,1.0,0.0,0.6659225910195246,1.5400389337036793,0.9983413000374174,0.12187999999454589,0.0,0.0,0.2319581323985553,0.2761971242388321,0.5250157770271613
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10AFRICA,0.19071083244370438,0.8766344477774731,0.0,0.24034201547521733,1.9558441100388708,0.8091707214181982,0.19071083244370438,0.30127076670184416,0.0,0.011688664028441218,0.5659424313982463,0.3542652151990147
IMAGE 3.0,ENGAGE-INDCi2030-1000f,R10AFRICA,0.21067775826423835,1.8742937190333309,0.0,0.24430517153139306,2.302960694704303,0.6359731789599069,0.21067775826423835,0.9218111565315258,0.0,0.014173711160722365,0.7148536789315991,0.26034774120093007
IMAGE 3.0,ENGAGE-INDCi2030-1200,R10AFRICA,0.17038393073316208,0.8717243392149888,0.0,0.24836928400965405,2.2755861773897927,0.42853935863516535,0.17038393073316208,0.2982166972722737,0.0,0.01672206174702658,0.703110150376615,0.14786542678608344
IMAGE 3.0,ENGAGE-INDCi2030-1200f,R10AFRICA,0.18081227175989167,0.8778447782284639,0.0,0.23183755467302902,2.2299282130852025,0.24038190872539458,0.18081227175989167,0.3020235877816654,0.0,0.006356048903396443,0.6835231161501085,0.045835847390045925
IMAGE 3.0,ENGAGE-INDCi2030-1400f,R10AFRICA,0.18994104843825171,1.876776991510064,0.0,0.2554663883987489,2.248407966916716,0.37242719765792626,0.18994104843825171,0.9233557428599078,0.0,0.021172211743552004,0.691450836457141,0.11743824898230326
IMAGE 3.0,ENGAGE-INDCi2030-800f,R10AFRICA,0.21900434089895984,1.8734263876270814,0.0,0.24730166082253882,2.0110995702560728,0.7534536307182107,0.21900434089895984,0.9212716795934043,0.0,0.016052622062620692,0.5896467425071603,0.3240522667772717
IMAGE 3.0,ENGAGE-NPi2020-1000,R10AFRICA,0.18028819063082185,0.8718823136682898,0.0,0.2500809984582786,1.91648713340685,0.4835016510418445,0.18028819063082185,0.2983149568000092,0.0,0.017795370751654375,0.5490584888028095,0.17766908101069512
