model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.9194962967369016,0.9538269660006992,0.0,1.8733232627376006
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.9186578915049809,0.9541621641442054,0.0,1.8728200556491863
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.8976141555018718,0.6343880512813697,0.0,1.5320022067832415
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.8623023261190694,0.6471622957276534,0.0,1.509464621846723
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.1139058128152924,0.7445743220615055,0.0,0.858480134876798
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.6675452253446889,1.0,0.0,1.6675452253446887
WITCH 5.0,ENGAGE-INDCi2030-1000,0.6682044255091176,0.2236326852541078,0.0,0.8918371107632255
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.6929561431979382,0.23217793897466696,0.0,0.9251340821726052
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.6929156683473838,0.22453095595930578,0.0,0.9174466243066897
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.7038936089516324,0.22812267731368455,0.0,0.932016286265317
WITCH 5.0,ENGAGE-INDCi2030-1200,0.7160069950834654,0.2270019659478776,0.0,0.943008961031343
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.7094089359086873,0.23087614862879177,0.0,0.940285084537479
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.7187211087128235,0.21500203917762628,0.0,0.9337231478904497
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.7186694162347953,0.21847685006644732,0.0,0.9371462663012426
WITCH 5.0,ENGAGE-INDCi2030-1400,0.7426654888619549,0.22138647563123096,0.0,0.9640519644931859
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.7502883570550317,0.22562666281467764,0.0,0.9759150198697093
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.7347086907898404,0.21232732729572906,0.0,0.9470360180855695
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.7402428777062423,0.21696030390733514,0.0,0.9572031816135774
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.7973513337601114,0.23073603187956873,0.0,1.02808736563968
WITCH 5.0,ENGAGE-INDCi2030-500f,0.5553294348575336,0.31158860458396836,0.0,0.8669180394415019
WITCH 5.0,ENGAGE-INDCi2030-600f,0.5930144906756852,0.28292083283511554,0.0,0.8759353235108007
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.6090253048609258,0.2824793000774546,0.0,0.8915046049383804
WITCH 5.0,ENGAGE-INDCi2030-700f,0.6282875229623381,0.2601237273765549,0.0,0.888411250338893
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.6438517219076942,0.2609728424927729,0.0,0.9048245644004671
WITCH 5.0,ENGAGE-INDCi2030-800,0.636382008641831,0.23982501041842996,0.0,0.876207019060261
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.6476669844410216,0.24693958588494389,0.0,0.8946065703259655
WITCH 5.0,ENGAGE-INDCi2030-800f,0.664352210950407,0.2438240312761036,0.0,0.9081762422265106
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.6711081563631095,0.24573433448719612,0.0,0.9168424908503057
WITCH 5.0,ENGAGE-INDCi2030-900,0.6794428905006593,0.23613850026894606,0.0,0.9155813907696053
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.6603139041715016,0.23258720612323158,0.0,0.8929011102947332
WITCH 5.0,ENGAGE-INDCi2030-900f,0.6820607338419649,0.23252028903865588,0.0,0.9145810228806207
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.6884597219828371,0.23594178119982542,0.0,0.9244015031826626
