model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.3622699659863113,0.6710069424892063,0.7932664596273996,7.290092936148115e-05,1.8266162690322787,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.3588187656137087,0.6433043163328934,0.7768442667578849,0.0,1.778967348704487,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.28560179016243276,0.6850398758100893,0.8131085138409108,3.6125927205002715e-05,1.7837863057406378,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.2954239459567477,0.6801682933298229,0.78129769204155,0.00016801575038252184,1.7570579470785033,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.2958080848368664,0.6929441079473456,0.7867292831170959,0.00016801575038252184,1.7756494916516905,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.30433908409764626,0.6099061355071315,0.7493692958095117,0.00016801575038252184,1.663782531164672,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.30045258945027037,0.7092584428295947,0.7899967736169522,0.00016801575038252184,1.7998758216471997,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.3727739901788355,0.7482471485019845,0.787728452084943,8.423183446822598e-05,1.908833822600231,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.4582821552306754,0.7696552206361327,0.8193349741172269,1.4388976672088018e-05,2.047286738960707,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.3750162117163563,0.764191151194752,0.7996653357421231,9.24659433440644e-05,1.9389651645965755,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.3694295195431172,0.7371646254695646,0.7826100376062428,7.540554378121225e-05,1.889279588162706,R10AFRICA
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.09628599244202453,0.5627212966366354,0.7389877103874348,0.0010371034864831694,1.3990321029525778,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.049295052248765,0.5588230680015843,0.6667387988955751,0.0003006161695662484,1.2751575353154905,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.049087225483159365,0.5581048324911649,0.6662243385005596,0.0003006161695662484,1.2737170126444501,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.0578184223047372,0.5020382305778706,0.6592962534854961,0.0003006161695662484,1.2194535225376701,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.05663536598273931,0.5016308554311261,0.6583729205003893,0.0003006161695662484,1.2169397580838208,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.06215524427437862,0.4378064810368734,0.6425659132475735,0.00018896725402742584,1.142716605812853,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.06245006804734942,0.44018963986025356,0.6429888894047173,0.00018386743690552594,1.1458124647492258,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.07395214350454049,0.42470167043584106,0.6458012050397802,0.0002331837785583195,1.14468820275872,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.06273995065933512,0.5082470148536384,0.6565985071760193,0.0004905471495942383,1.2280760198385872,R10AFRICA
