,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
145,ENGAGE-INDCi2030-700f,POLES-JRC ENGAGE,-0.009019142363911353,-0.008713612418975974,1,R10INDIA+
146,ENGAGE-INDCi2030-800f,POLES-JRC ENGAGE,-0.008977606810547267,-0.008727932974570751,1,R10INDIA+
147,ENGAGE-INDCi2030-900,POLES-JRC ENGAGE,-0.009196173547545095,-0.006140562135880573,1,R10INDIA+
148,ENGAGE-INDCi2030-900f,POLES-JRC ENGAGE,-0.008710388808432334,-0.008688046364848795,1,R10INDIA+
149,ENGAGE-NPi2020-1000f,POLES-JRC ENGAGE,0.01274535390074108,0.01690421259643199,1,R10INDIA+
150,ENGAGE-NPi2020-1000f-COV,POLES-JRC ENGAGE,0.013812012462329798,0.01773198230478465,1,R10INDIA+
151,ENGAGE-NPi2020-1200f,POLES-JRC ENGAGE,0.014371479728154224,0.01784864135362882,1,R10INDIA+
152,ENGAGE-NPi2020-900f,POLES-JRC ENGAGE,0.011319879260484111,0.015859688503553043,1,R10INDIA+
153,NGFS Phase 2-Delayed Transition,REMIND-MAgPIE 2.1-4.2,0.09250398621271597,0.09250398621271597,1,R10INDIA+
154,RESCUE-End-of-Century-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.0030942002902461796,0.006983334372046818,1,R10INDIA+
155,RESCUE-End-of-Century-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.0030942002902461796,0.0069226014303719885,1,R10INDIA+
156,RESCUE-End-of-Century-Budget-500,REMIND-MAgPIE 3.2.0-4.8.0,0.0030942002902461796,0.007124196639910235,1,R10INDIA+
157,RESCUE-End-of-Century-Budget-500-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.0030942002902461796,0.006983334372046818,1,R10INDIA+
158,RESCUE-Peak-Budget-1150,REMIND-MAgPIE 3.2.0-4.8.0,0.040887578555357296,0.017936568099116174,1,R10INDIA+
159,RESCUE-Peak-Budget-1150-with-OAE,REMIND-MAgPIE 3.2.0-4.8.0,0.030024967280525172,0.019522620000025415,1,R10INDIA+
160,NGFS Phase 5-Below 2°C,REMIND-MAgPIE 3.3-4.8,0.03078460601173455,0.026667802892032827,1,R10INDIA+
161,NGFS Phase 5-Delayed Transition,REMIND-MAgPIE 3.3-4.8,0.04153592655574914,0.029479642699518915,1,R10INDIA+
162,NGFS Phase 5-Low Demand,REMIND-MAgPIE 3.3-4.8,0.04322404795549398,0.03968436676846063,1,R10INDIA+
163,NGFS Phase 5-Net-Zero 2050,REMIND-MAgPIE 3.3-4.8,0.02994165821917033,0.024496679720539483,1,R10INDIA+
164,ENGAGE-INDCi2030-1000,WITCH 5.0,0.07302983549188732,0.15684866731269184,1,R10INDIA+
165,ENGAGE-INDCi2030-1000-NDCp,WITCH 5.0,0.07292074574275709,0.15685836897796657,1,R10INDIA+
166,ENGAGE-INDCi2030-1000f,WITCH 5.0,0.07019808529003554,0.15684866731269184,1,R10INDIA+
167,ENGAGE-INDCi2030-1000f-NDCp,WITCH 5.0,0.0690033990433161,0.15685836897796657,1,R10INDIA+
168,ENGAGE-INDCi2030-1200,WITCH 5.0,0.06791619793098294,0.15684866731269184,1,R10INDIA+
169,ENGAGE-INDCi2030-1200-NDCp,WITCH 5.0,0.06623416762284007,0.15685836897796657,1,R10INDIA+
170,ENGAGE-INDCi2030-1200f,WITCH 5.0,0.06343384941509159,0.15684866731269184,1,R10INDIA+
171,ENGAGE-INDCi2030-1200f-NDCp,WITCH 5.0,0.06124869570318914,0.15685836897796657,1,R10INDIA+
172,ENGAGE-INDCi2030-1400,WITCH 5.0,0.054055843694000266,0.15684866731269184,1,R10INDIA+
173,ENGAGE-INDCi2030-1400-NDCp,WITCH 5.0,0.053371488763263975,0.15685836897796657,1,R10INDIA+
174,ENGAGE-INDCi2030-1400f,WITCH 5.0,0.053319125928818684,0.15684866731269184,1,R10INDIA+
175,ENGAGE-INDCi2030-1400f-NDCp,WITCH 5.0,0.05168750109975456,0.15685836897796657,1,R10INDIA+
176,ENGAGE-INDCi2030-1600-NDCp,WITCH 5.0,0.04559058737894678,0.15685836897796657,1,R10INDIA+
177,ENGAGE-INDCi2030-500f,WITCH 5.0,0.10355616040942137,0.15684866731269184,1,R10INDIA+
178,ENGAGE-INDCi2030-600f,WITCH 5.0,0.09634568969806392,0.15684866731269184,1,R10INDIA+
179,ENGAGE-INDCi2030-600f-NDCp,WITCH 5.0,0.09421597677123078,0.15685836897796657,1,R10INDIA+
180,ENGAGE-INDCi2030-700f,WITCH 5.0,0.0789673784341132,0.15684866731269184,1,R10INDIA+
181,ENGAGE-INDCi2030-700f-NDCp,WITCH 5.0,0.07739080267633536,0.15685836897796657,1,R10INDIA+
182,ENGAGE-INDCi2030-800,WITCH 5.0,0.10307319321351374,0.15684866731269184,1,R10INDIA+
183,ENGAGE-INDCi2030-800-NDCp,WITCH 5.0,0.10004961291256076,0.15685836897796657,1,R10INDIA+
184,ENGAGE-INDCi2030-800f,WITCH 5.0,0.07473231948008732,0.15684866731269184,1,R10INDIA+
185,ENGAGE-INDCi2030-800f-NDCp,WITCH 5.0,0.0732349336819838,0.15685836897796657,1,R10INDIA+
