model,scenario,between_region_gini,carbon_budget_fairness,fairness_score
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.8331439665946831,0.4199963177239168,1.2531402843186
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.8331439665946831,0.1539571687334146,0.9871011353280977
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.7315025770237021,0.24440139016395168,0.9759039671876538
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.7315025770237021,0.48567418540637713,1.2171767624300793
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.7315025770237021,0.45986697448998326,1.1913695515136853
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.8331439665946831,0.47734246320362017,1.3104864297983032
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.7315025770237021,0.4909997771650165,1.2225023541887188
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.7315025770237021,0.4177402302351015,1.1492428072588037
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.8817400028686668,0.4366220728442427,1.3183620757129095
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.9950195403515844,0.591079619254731,1.5860991596063152
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.9940419911900986,0.591079619254731,1.5851216104448296
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.0,0.591079619254731,1.591079619254731
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.9990014990858866,0.591079619254731,1.5900811183406176
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.9935164242603679,0.4264489431163229,1.4199653673766908
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.9934241557162583,0.4215741597007768,1.4149983154170351
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.808882627915028,0.39848120496730405,1.207363832882332
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.810251584695042,0.5955482689189397,1.4057998536139817
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.8024378583719339,0.0,0.8024378583719339
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.8263385212736891,0.09639460319129897,0.9227331244649881
WITCH 5.0,ENGAGE-INDCi2030-1000,0.513708246215325,0.838491056479636,1.3521993026949608
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.5094124548769329,0.7042556423408378,1.2136680972177707
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.502273587995082,0.838491056479636,1.340764644474718
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.5016010989509787,0.7042556423408378,1.2058567412918166
WITCH 5.0,ENGAGE-INDCi2030-1200,0.5064301349953578,0.838491056479636,1.344921191474994
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.5068289265215217,0.7042556423408378,1.2110845688623595
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.502052097487116,0.838491056479636,1.340543153966752
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.5028379878958806,0.7042556423408378,1.2070936302367183
WITCH 5.0,ENGAGE-INDCi2030-1400,0.5044228550541956,0.838491056479636,1.3429139115338316
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.504711307983364,0.7042556423408378,1.2089669503242018
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.5026109182194975,0.838491056479636,1.3411019746991335
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.5022825239771499,0.7042556423408378,1.2065381663179877
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.5011991693521816,0.7042556423408378,1.2054548116930195
WITCH 5.0,ENGAGE-INDCi2030-500f,0.5180461000544617,0.838491056479636,1.3565371565340976
WITCH 5.0,ENGAGE-INDCi2030-600f,0.5111938907055772,0.838491056479636,1.3496849471852133
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.5093696399393028,0.7042556423408378,1.2136252822801405
WITCH 5.0,ENGAGE-INDCi2030-700f,0.5065072337584311,0.838491056479636,1.344998290238067
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.5051317314763113,0.7042556423408378,1.2093873738171492
WITCH 5.0,ENGAGE-INDCi2030-800,0.5131306742653345,0.838491056479636,1.3516217307449705
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.5138548159311574,0.7042556423408378,1.2181104582719953
WITCH 5.0,ENGAGE-INDCi2030-800f,0.5028082017185441,0.838491056479636,1.34129925819818
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.5030135740260383,0.7042556423408378,1.2072692163668761
WITCH 5.0,ENGAGE-INDCi2030-900,0.5065404586233493,0.838491056479636,1.3450315151029852
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.5094873986397718,0.7042556423408378,1.2137430409806096
WITCH 5.0,ENGAGE-INDCi2030-900f,0.5019863813969248,0.838491056479636,1.3404774378765607
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.5018627913604686,0.7042556423408378,1.2061184337013064
