model,scenario,investment_score,investment_score_2050,Region
WITCH 5.0,ENGAGE-INDCi2030-500f,0.13504126407825812,0.10437001534780033,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f,0.14191943261636994,0.10088335177071511,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.17908528033241114,0.12612425249863918,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f,0.15737782993220578,0.1502308020855418,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.19110265276925423,0.15965893193862934,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800,0.17159203192018488,0.13424511055637772,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.18251496643906753,0.13199676484885423,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f,0.17381230426601224,0.1969652760078465,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.20457747580984878,0.20019682543194717,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900,0.1960687147278159,0.20156451203393125,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.1849795142049023,0.1634977448956099,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f,0.18215109354202222,0.22298747613703013,R10LATIN_AM
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.2134101166996912,0.2246397870271484,R10LATIN_AM
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.20038848349640548,0.19358261971288726,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.2147795524193553,0.15462196033851222,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.17566067594347648,0.15841785029931335,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.1760504911464376,0.14878861284594422,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.18127076446686408,0.14995752169491736,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.2167697968176181,0.1884916385955366,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1000,0.18798476222863517,0.17018447765832437,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1200,0.1803536467671036,0.16220717575812976,R10INDIA+
IMAGE 3.0,ENGAGE-NPi2020-1400,0.18267185777398678,0.17287048997548077,R10INDIA+
