,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
63,PEP_2C_red_NDC,REMIND-MAgPIE 1.7-3.0,-0.010696198538491575,-0.010696198538491575,1,R10LATIN_AM
64,PEP_2C_red_eff,REMIND-MAgPIE 1.7-3.0,0.0,0.0,1,R10LATIN_AM
65,PEP_2C_red_goodpractice,REMIND-MAgPIE 1.7-3.0,-0.010184718205684173,-0.010184718205684173,1,R10LATIN_AM
66,PEP_2C_red_netzero,REMIND-MAgPIE 1.7-3.0,-0.010184718205684173,-0.010184718205684173,1,R10LATIN_AM
67,CEMICS_SSP1-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
68,CEMICS_SSP1-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
69,CEMICS_SSP2-1p5C-fullCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
70,CEMICS_SSP2-1p5C-minCDR,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
71,EN_INDCi2030_300f,REMIND-MAgPIE 2.1-4.2,-0.07936639585713473,-0.07936639585713473,1,R10LATIN_AM
72,EN_INDCi2030_400f,REMIND-MAgPIE 2.1-4.2,-0.08222472782683135,-0.08222472782683135,1,R10LATIN_AM
73,EN_INDCi2030_500f,REMIND-MAgPIE 2.1-4.2,-0.0735973284177655,-0.0735973284177655,1,R10LATIN_AM
74,EN_INDCi2030_600_COV,REMIND-MAgPIE 2.1-4.2,-0.00010072231649371766,-0.00010072231649371766,1,R10LATIN_AM
75,EN_INDCi2030_600_COV_NDCp,REMIND-MAgPIE 2.1-4.2,-0.0008011957163625849,-0.0008011957163625849,1,R10LATIN_AM
76,EN_INDCi2030_600f,REMIND-MAgPIE 2.1-4.2,-0.06906542193410262,-0.06906542193410262,0,R10LATIN_AM
77,EN_INDCi2030_600f_COV,REMIND-MAgPIE 2.1-4.2,-4.084683458221994e-06,-4.084683458221994e-06,1,R10LATIN_AM
78,EN_INDCi2030_600f_COV_NDCp,REMIND-MAgPIE 2.1-4.2,-0.00039626410865856165,-0.00039626410865856165,1,R10LATIN_AM
79,EN_INDCi2030_600f_NDCp,REMIND-MAgPIE 2.1-4.2,-0.0608148594806624,-0.0608148594806624,0,R10LATIN_AM
80,EN_NPi2020_200f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
81,EN_NPi2020_300f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
