model,scenario,carbon_budget_share,region
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,0.9053356129023122,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,0.9234897228882798,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,0.9319511643926649,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,0.909018201880243,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,0.4963300156888255,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.5134813357426218,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.5404721592590176,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,0.3919336910871864,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.5471680179792352,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,0.4306325154420377,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.5581535645528009,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.4944284868794578,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.5138969071916807,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.573290612623477,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.5377780172734806,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.5314368480291336,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.5309044994101951,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.5436903595945538,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.5669562425133954,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.5896998179034703,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.6718394724786891,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.5643203737987852,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.579201444318908,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.5962085715274423,R10INDIA+
