model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.0,0.26158401531925585,0.0,0.26158401531925585,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.0,0.239804687630303,0.0,0.239804687630303,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.0,0.21730636221495142,0.0,0.21730636221495142,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.8688247791343872,0.9961613849929143,0.0,1.8649861641273016,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.8783041092274249,1.0,0.0,1.8783041092274249,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.0,0.2267155412860125,0.0,0.2267155412860125,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.0,0.34328760596416885,0.0,0.34328760596416885,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.0,0.36741250170309114,0.0,0.36741250170309114,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.0,0.22283905997706066,0.0,0.22283905997706066,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.0,0.28818820065333967,0.0,0.28818820065333967,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.0,0.25424671055049136,0.0,0.25424671055049136,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.0,0.5117389652316306,0.0,0.5117389652316306,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.0,0.31326675101969276,0.0,0.31326675101969276,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.0,0.4663186745652504,0.0,0.4663186745652504,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.0,0.32957885660130926,0.0,0.32957885660130926,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.0,0.3219754957982169,0.0,0.3219754957982169,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.0,0.27104523152509485,0.0,0.27104523152509485,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.0,0.30512117528292176,0.0,0.30512117528292176,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.0,0.2661527199585628,0.0,0.2661527199585628,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.24110114110501987,0.27531081845133815,1.0,1.516411959556358,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.010075677462488632,0.38425797961978125,0.3048370018027959,0.6991706588850657,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.0,0.3617928915882053,0.0,0.3617928915882053,R10LATIN_AM
