model,scenario,electricity_price,region
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,5.175740384615381,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,6.0635634615384575,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,4.761778846153845,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,4.897725000000005,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,7.804024999999999,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,4.255763461538464,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,4.200725000000002,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,3.4121480769230814,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,3.785463461538459,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,5.744809615384611,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,6.385478846153845,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,5.257563461538464,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,5.274901923076925,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,5.387927403846156,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,7.272350480769234,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,6.784177884615385,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,10.776377884615382,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,1.6659706730769201,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,1.4709245192307634,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,1.345355288461537,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,2.8762245192307674,R10INDIA+
