,Nd,Dy,Cd,Te,Se,In
2057,0.0,309357.7599071777,123855.43046459841,20457.97456518603,17657.255413033694,63212.40181671784
2058,0.0,281780.13058019127,91904.70964946039,18777.421763038525,11877.97613734613,65399.31792626137
2059,0.0,250800.16516762,56618.368015027605,16929.835013308464,5483.016920295471,67474.01515864332
2060,0.0,216214.24484253267,17798.530646341504,14906.776386367612,0.0,69425.40400533075
2061,0.0,177818.750777998,0.0,12699.807952587704,0.0,67044.15678897663
2062,0.0,135410.06414708472,0.0,10300.491782340505,0.0,64432.8315289775
2063,0.0,88784.56612286158,0.0,7700.389945997766,0.0,61580.33871680046
2064,0.0,42168.00143197167,0.0,4891.064513931236,0.0,58475.588843912614
2065,0.0,0.0,0.0,1926.6170387413695,0.0,55141.487124053194
2066,0.0,0.0,0.0,0.0,0.0,51574.91858886288
2067,0.0,0.0,0.0,0.0,0.0,47771.5031198398
2068,0.0,0.0,0.0,0.0,0.0,43724.49881916238
2069,0.0,0.0,0.0,0.0,0.0,39423.70538051221
2070,0.0,0.0,0.0,0.0,0.0,34854.36745989691
2071,0.0,0.0,0.0,0.0,0.0,30018.835338206285
2072,0.0,0.0,0.0,0.0,0.0,24920.568247183473
2073,0.0,0.0,0.0,0.0,0.0,19564.134369424886
2074,0.0,0.0,0.0,0.0,0.0,13955.210838380211
2075,0.0,0.0,0.0,0.0,0.0,8100.583738352441
2076,0.0,0.0,0.0,0.0,0.0,2008.148104497879
2077,0.0,0.0,0.0,0.0,0.0,0.0
2078,0.0,0.0,0.0,0.0,0.0,0.0
2079,0.0,0.0,0.0,0.0,0.0,0.0
2080,0.0,0.0,0.0,0.0,0.0,0.0
2081,0.0,0.0,0.0,0.0,0.0,0.0
2082,0.0,0.0,0.0,0.0,0.0,0.0
2083,0.0,0.0,0.0,0.0,0.0,0.0
2084,0.0,0.0,0.0,0.0,0.0,0.0
2085,0.0,0.0,0.0,0.0,0.0,0.0
2086,0.0,0.0,0.0,0.0,0.0,0.0
2087,0.0,0.0,0.0,0.0,0.0,0.0
2088,0.0,0.0,0.0,0.0,0.0,0.0
2089,0.0,0.0,0.0,0.0,0.0,0.0
2090,0.0,0.0,0.0,0.0,0.0,0.0
2091,0.0,0.0,0.0,0.0,0.0,0.0
2092,0.0,0.0,0.0,0.0,0.0,0.0
2093,0.0,0.0,0.0,0.0,0.0,0.0
2094,0.0,0.0,0.0,0.0,0.0,0.0
2095,0.0,0.0,0.0,0.0,0.0,0.0
2096,0.0,0.0,0.0,0.0,0.0,0.0
2097,0.0,0.0,0.0,0.0,0.0,0.0
2098,0.0,0.0,0.0,0.0,0.0,0.0
2099,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0
