model,scenario,ssp_gini_coefficient,ssp,region
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3191128638142811,2,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2955410778250738,1,R10LATIN_AM
