model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.18853623793232735,0.41604496735266305,1.0,1.6045812052849904
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.14306908964232254,0.42102601072703477,0.3291447537197984,0.8932398540891557
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.16903708587606217,0.42693564461291383,0.0,0.595972730488976
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.42464286906923854,0.7079885529021329,0.0,1.1326314219713716
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.1673748764366424,0.16482203277264867,0.0,0.33219690920929107
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3383519270865411,0.24448185265278266,0.0,0.5828337797393237
WITCH 5.0,EN_INDCi2030_500f,0.6322964804907077,0.3950150084841156,0.05011042262997271,1.077421911604796
WITCH 5.0,EN_NPi2020_400f,0.5963437475518626,0.3146984810000946,0.029209002921883345,0.9402512314738406
WITCH 5.0,EN_NPi2020_450,0.7789417867217682,0.4866833186302109,0.031120576284985556,1.2967456816369647
WITCH 5.0,EN_NPi2020_450f,0.5689149010810375,0.28450169957563703,0.021255291051639372,0.8746718917083139
WITCH 5.0,EN_NPi2020_500,0.7239988969460232,0.4433009263296274,0.02896873349354604,1.1962685567691966
WITCH 5.0,EN_NPi2020_500f,0.5377591981586785,0.25552517878082376,0.012833318414588664,0.8061176953540908
