model,scenario,final_energy_demand,energy_diversity,gini_coefficient,electricity_price,resilience_score
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.6653154035921951,0.7316411294562977,1.0,0.18893742388413456,2.5858939569326274
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.48375869059691784,0.5733747435467593,1.0,0.0,2.057133434143677
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.01208985891049,0.5323890131458467,1.0,0.41632051746741444,1.9607993895237512
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.161828186678328,0.648206127771899,0.0,0.46575912539735664,1.2757934398475836
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.5885653056462959,0.6642396185153912,1.0,0.5442087535558697,2.7970136777175565
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.2821794770473601,1.0,1.0,0.6783672157422196,2.9605466927895794
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.4000247762331737,0.3956679866331385,1.0,0.7235327189925175,2.5192254818588298
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3502054867392524,0.5651812114355125,1.0,0.7748625619873297,2.6902492601620946
WITCH 5.0,EN_INDCi2030_500f,0.29084020796765664,0.13823814571927331,1.0,0.06857005326265724,1.4976484069495872
WITCH 5.0,EN_NPi2020_400f,0.2857159867141664,0.15263709819332477,1.0,0.07871825492008144,1.5170713398275728
WITCH 5.0,EN_NPi2020_450,0.2537373825999988,0.14723291237510644,1.0,0.10035734269656314,1.5013276376716684
WITCH 5.0,EN_NPi2020_450f,0.2997843731434378,0.141510584976651,1.0,0.07832450321272158,1.5196194613328102
WITCH 5.0,EN_NPi2020_500,0.2869465209149264,0.13215992617645678,1.0,0.09177560606285144,1.5108820531542346
WITCH 5.0,EN_NPi2020_500f,0.3140665867732782,0.13158805083754904,1.0,0.07868584383739158,1.5243404814482189
