model,scenario,Nd,total,Dy,Ni,Mn,Ag,Cd,Te,Se,In,resource_score
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_120,0.3580789680533428,2.273343774855081,0.38632645397881366,0.42770483119196784,0.3758127339851726,0.12397796328225179,0.13303100464904644,0.1553452511981403,0.1433754197565839,0.16969114875976163,0.25259375276167567
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_80,0.2567835065433191,1.8788298689495555,0.3218930176009145,0.3387747845695932,0.2672710129174327,0.11831164186300627,0.12691368945111378,0.1485128681172451,0.1376029858649931,0.16276636202193784,0.20875887432772838
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB400,0.3984434463485389,2.737164326625456,0.5478230636051632,0.5441764804988267,0.41267145071475486,0.14901951042861153,0.15751733940645804,0.17519436197935753,0.16708964541260016,0.18522902823114565,0.30412936962505066
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB450,0.3951029931591423,2.703509656453491,0.5398384525903448,0.5358865612932605,0.4095668448657069,0.14623087356389097,0.15489003833573353,0.1733879368848649,0.16451896066565883,0.1840869950948884,0.3003899618281657
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB500,0.39335557863566745,2.6881528475677086,0.5348459287472698,0.528861480129366,0.408218398824263,0.1461688167632783,0.15483157181369994,0.1733477376881431,0.16446175405234997,0.18406158091367092,0.29868364972974537
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB550,0.37756509705477226,2.6184743109064446,0.5254099861009986,0.51221547184436,0.39160649273302167,0.14331410049523474,0.15214201434476884,0.1714985076325951,0.16183015448485283,0.1828924862158408,0.2909415901007161
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_lc_CB600,0.3599732205109281,2.56933928229166,0.5171032492793833,0.4971791599958014,0.3727631906657877,0.14685104767524157,0.1551980323432865,0.1726679478720417,0.16489590393534656,0.18270753001384282,0.2854821424768511
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_openres_mc_50,0.22891286290674437,1.0855394127131157,0.22908967322856486,0.23633395126026885,0.24443540534237887,0.022005340947307373,0.021117002928011327,0.03318554804708787,0.02734597929897249,0.043113648753779855,0.1206154903014573
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.39071641016699227,5.418608865858642,0.14660281876942347,0.28592678501151164,0.39715286957785767,0.8992688178557607,0.9012617336950816,0.7994947669317974,0.8999372697787179,0.6982473940715002,0.6020676517620713
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.42477579907076035,5.975409765901189,0.16316991174083953,0.3182601391944544,0.4312188767865554,1.0,1.0,0.8803152746543862,0.995498715605109,0.7621710488490844,0.6639344184334655
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.30403364653707843,6.059175921135444,0.2560290840284169,0.3191121275737621,0.3010646361599169,0.9118992041338796,0.969588891203772,1.0,1.0,0.9974483314986181,0.6732417690150494
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.2796623578221553,5.745685385916148,0.2573655479986541,0.3054599131204323,0.2759183944657632,0.8497929689946891,0.9104729945102084,0.9558852161177961,0.9442235132768836,0.9669044796095657,0.6384094873240165
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.37301776822931065,5.059433030662909,0.13159958792025908,0.26771152288982875,0.3794843458616341,0.8341776706681165,0.8368175734581971,0.7460878701124382,0.8358562874765698,0.6546804040465551,0.5621592256292121
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.32105154750233256,5.142508769141742,0.1897462859645822,0.2808568350901809,0.3224296777907366,0.8189477814588575,0.8386516490808811,0.7907199945251685,0.8480461990927998,0.7320587986362026,0.5713898632379713
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.404665625712508,5.443240066773661,0.14509655377123118,0.29494662505372743,0.4113842248194939,0.8990966719215685,0.9001183543185638,0.7968195970545845,0.8972081968233308,0.6939042172986529,0.6048044518637401
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.37951754281632744,5.532165813763426,0.18988020620918383,0.31292154841928754,0.3828307279275775,0.885350956327772,0.8991521491574226,0.8283814969341461,0.9038187107279869,0.7503124752437217,0.6146850904181584
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.34337447779393454,5.5055502716896125,0.21386463735455363,0.31125282072449273,0.34400488860115264,0.8677901630962296,0.8911017859950199,0.8457980550709758,0.901152331448209,0.787211111605045,0.6117278079655125
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.3730177682293105,5.05943303066291,0.13159958792025908,0.26771152288982875,0.37948434586163404,0.8341776706681165,0.8368175734581971,0.7460878701124382,0.83585628747657,0.6546804040465551,0.5621592256292122
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.2796623578221553,5.745685385916148,0.2573655479986541,0.3054599131204323,0.2759183944657632,0.8497929689946891,0.9104729945102084,0.9558852161177961,0.9442235132768836,0.9669044796095657,0.6384094873240165
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.3254001631631053,5.011122030748207,0.16831275208409646,0.26862512919825193,0.3280864144147933,0.8054739382114873,0.8210619518521,0.765131415194052,0.8281867039125347,0.7008435627177857,0.5567913367498007
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.2937905251320346,5.000776012759277,0.1935381119165721,0.26984526050360386,0.2939198475903245,0.7895289063792502,0.8142436438005207,0.7824163665186152,0.8268052260858296,0.7366881248325265,0.5556417791954753
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.4766553754889674,6.00143493721926,0.16690894211713977,0.344159878876665,0.48509933261622634,0.9827518488540047,0.9800836265695125,0.8556783496081838,0.9751356938544453,0.7349618892341162,0.6668261041354734
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.4436606926302981,6.1139500105962234,0.20955253653341732,0.3572122861543506,0.44848040991093596,0.9800583763501246,0.9898064149636028,0.8955208963803903,0.9921293096670212,0.797529088006082,0.679327778955136
