model,scenario,electricity_price
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.0
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.0
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.0
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.0
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,22.515792307692305
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,24.533046153846158
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,23.99524615384615
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,27.313584615384613
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,20.357507692307692
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,19.026153846153843
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,20.286630769230765
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,21.842900000000004
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,21.139823076923083
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,20.140153846153847
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,19.530746153846152
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,19.82136923076923
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,20.359884615384615
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,19.676069230769233
