model,scenario,flexibility_scores,shannon_index,carbon_budgets,CDR_2050,robustness_score
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.6718128374724086,0.15809528009867538,0.2415519800974657,0.24057901797029949,1.3120391156388493
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.3853733735505585,0.5167413592761659,0.9116052077028963,0.27013121480852165,2.0838511553381425
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.3180617165852775,0.4875754215809044,0.9082035813899177,0.5702887643944159,2.2841294839505153
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.36674552853197195,0.5545983122748179,0.5685784943109221,0.2767688893422105,1.7666912244599224
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.29344912907424286,0.5243858677903814,0.4313360955484524,0.6214398171542918,1.8706109095673686
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.3779741920815869,0.5694336421281033,0.5897977469219258,0.2204341580516882,1.757639739183304
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.39375374468915525,0.5244082945839531,0.9565671090015,0.21819562088988298,2.092924769164491
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.371094859284578,0.6010654384709306,0.8393622184522364,0.20853554592936324,2.0200580621371085
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.32330467720471,0.5003650851627888,0.9921156421943697,0.5160461644745977,2.331831569036466
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.30275203451413274,0.5317370530107977,0.5212133343069386,0.5010537196097361,1.856756141441605
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.32734620305875944,0.4905312960327991,0.8419030374757315,0.45057190909094463,2.1103524456582345
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.3340372317680363,0.48780324574297157,0.7429392384365423,0.40407125884818085,1.968850974795731
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.0441668232071884,0.7731716519716931,0.2088236731916543,0.8989162778319365,1.925078426202472
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.39375374468915525,0.5244082945839531,1.0,0.21819562088988298,2.1363576601629912
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.3779741920815869,0.5694336421281033,0.6326524539715697,0.2204341580516882,1.800494446232948
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.40211730434354076,0.5220316189630445,0.8496286696785196,0.18836058300933686,1.9621381759944418
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.40650307407983083,0.531945221496021,0.7486180680774713,0.17879348638186984,1.865859850035193
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.17593824027481822,0.7722353852206899,0.9905086764544541,0.4183429800601626,2.3570252820101247
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.21721519424999694,0.7597426085229538,0.5221423917875527,0.4172984086883962,1.9163986032488998
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.18834082684742268,0.757929693322598,0.840052340722287,0.37035436996269133,2.156677230854999
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.19891629202369226,0.7542016540184118,0.7374560602213747,0.33414702759919884,2.0247210338626775
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.3373951527515234,0.6377207722846483,0.3839039385350278,0.13200884700003318,1.4910287105712325
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.1914100912544273,0.6760977416448852,0.298626948879437,0.014535953187209648,1.180670734965959
