model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,cluster
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.674262159524753,0.520668317695076,0.6362450374501968,0.784543801802829,0.6435408001511631,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.6748167175420796,0.5216936090754178,0.6406905260499839,0.7841827978665001,0.6432256915433475,0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7719328734223869,0.4773236009836861,0.771952329706394,0.9128336882778636,0.7590939692227686,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9385770991668586,0.4626948216657823,0.8877820779989344,1.0,0.5463204441594882,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8856906597765063,0.4685862003663476,0.8574267183393393,0.972055347671469,0.5507040895259355,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.7872079178769568,0.5190017136992097,0.9822011478744056,0.8786876847710511,0.5187664046560787,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8391859788731343,0.4753266079445116,0.828928332529756,0.947505941844745,0.559336788718927,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.7104627225151184,0.5171562805846907,0.9227030837079446,0.8701793010556491,0.5258837907636597,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7952496936552821,0.4807554085662244,0.8078635319708298,0.9210789079126552,0.5650583225354404,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.6691156459658465,0.516979839717906,0.8718989231334016,0.8658767460650312,0.5403624153292199,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.5956963423073725,0.5349587721574497,0.6993128202303464,0.7720938976103221,0.5067849489839424,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.751128329609811,0.4908546952995776,0.7886086699138345,0.9005299060907824,0.5753176445084088,0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.6237586012288466,0.5253150534797222,0.6644828200399423,0.7794243472542127,0.5200369736851886,0
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.3733152925082542,0.5099924061443273,0.4976006919459694,0.6144349628422549,0.4859483233230833,1
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.3749591052739561,0.5276298142468463,0.4896179095080893,0.6251504945984951,0.5360347116884739,1
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.0871033270230636,0.3556796802555134,0.6464174302916627,0.5901115091846146,0.5141572003515527,1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.2251652835774424,0.3192148232377336,0.7560730601314266,0.3130594197012346,0.50374773613291,1
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6895919091222821,0.5203159949568992,0.8335571027762743,0.849166289109038,0.5345723969285753,0
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.4319791931393898,0.5671681218372204,0.9677650435408044,0.848863821421129,0.4958338982144147,0
