scenario,model,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
SSP2_SPA2_19I_RE,IMAGE 3.2,0.1769753264707898,0.06678672492055968,0.17085704628546813,0.2156594856625153,0.5871256503719069,0.806345154393535,0.23831236180006218,3.232133130447917,0.7080753449382253
EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.10511758522989381,0.037360665489440406,0.15891703019514752,0.4174049646803436,0.34414114431131254,0.45698951840154745,0.1113391147014122,1.8945007655078143,0.40607395877946634
EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.11628311356809232,0.07994907053592196,0.159179632127135,0.4303808233419667,0.3121361146980805,0.516575104110816,0.12585631059912147,1.7183127272431462,0.42490340448631597
EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.1441444748095094,0.09979064226948457,0.16980710715403863,0.4076379592522013,0.3639156507179619,0.48161024187954754,0.1173376101700547,2.0033596396767437,0.3961434257702804
EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.09391837843891741,0.0331810797469531,0.1585142624108691,0.3583783057731158,0.324240457868594,0.425845624144587,0.10433126955501375,1.784947268859486,0.38615171260114944
EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.11628311356809232,0.07994907053592196,0.16204088712473425,0.3666859218301436,0.28154019797956026,0.49121488621037007,0.11967764764083992,1.5498818708843516,0.4040436246814753
EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.1889808270546093,0.12993151807272932,0.17033797668581077,0.3816092446816702,0.3314386514377182,0.5430701585612945,0.13377112139821348,1.8245734032302234,0.4466966321282807
EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.5858360720725377,0.38704126229523017,0.33440791278979726,0.3789427636584578,0.40364710523523073,1.1487780110326105,0.5798649126737035,2.2220817315914894,1.2956079749030665
EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.4810926829084061,0.33000457663609295,0.293232721430974,0.3357937547444953,0.3609949728361873,0.8390715684738009,0.5295359806955814,1.9872812759754297,1.1831566707906174
EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.4554337364792158,0.3123630734547775,0.2775569602474306,0.31780176159662693,0.30320963341060025,0.7863270233699775,0.512033198746815,1.6691723500695157,1.1440497281559083
EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.8782296128594327,0.5419435512891653,0.43511756806283425,0.4843263843655629,0.37672911161700834,1.3377556960768868,0.7159613152194517,1.9703436630300009,1.5996918755496137
EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.453644960061852,0.311133221522054,0.2764373383094097,0.31654747576173914,0.3213300641587115,0.7672715516982315,0.4996248319684516,1.768925519636982,1.1163253761521923
EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.8745508783382266,0.5396734542422423,0.43331466036292476,0.482297634522005,0.3794805621358261,1.2174239556143032,0.7211903566486065,1.9746627383064985,1.6113752652989146
EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.43930048992383325,0.301270851830746,0.26765377695136205,0.3235687996171603,0.3450368490549175,0.7393456640208939,0.481440309282216,1.8994316299234146,1.0756952016112644
EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.593532556621932,0.392458852123071,0.33935614595741054,0.38459430722181465,0.3865495491321969,1.1515147290969467,0.6079815309395633,2.1279594981389,1.3584297012334048
EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.5106284602362262,0.3151018789137913,0.25297773575551064,0.28160156783502815,0.35776399105451395,0.7916473297774772,0.41111321517671584,1.969494685909393,0.9185614589353791
