model,scenario,between_region_gini,carbon_budget_fairness,fairness_score
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.7797760919199518,0.4417431444522527,1.2215192363722045
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.7783095638270031,0.33315982368380787,1.111469387510811
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.46272753779557463,0.35517068542669333,0.817898223222268
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.46808816116398044,0.343405165944145,0.8114933271081255
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.46625332360854077,0.3546003055847738,0.8208536291933146
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.4819654119301965,0.03322106264597146,0.515186474576168
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.464589144063659,0.3707640159220574,0.8353531599857164
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.4738423516142433,0.2216752222749597,0.695517573889203
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.4633676868683975,0.3819752477854467,0.8453429346538442
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.46965134022070915,0.32881836242168505,0.7984697026423941
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.785366436293881,0.2927102678427471,1.0780767041366282
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.4614344556824123,0.403979169607047,0.8654136252894593
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.7797725517987613,0.38050378056446493,1.1602763323632261
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.8046800016861001,0.08808065118666926,0.8927606528727694
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.7958811706733582,0.10801832055833593,0.9038994912316941
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.3730021770456751,0.11270159131318198,0.4857037683588571
