,scenario,model,2030,2040,2050,2060,2070,2080,2090,2100,mean_value,mean_value_2050,largest_annual_increase,mean_annual_increase,temperature_category
10,EN_INDCi2100,AIM/CGE 2.2,0.011457307605270946,0.01089936025754793,0.010306596264569583,0.00994877642609162,0.009189075253279132,0.008615845149215777,0.007650371510067995,0.006946423857533023,0.009376719540447002,0.010887754709129486,0.02664091916248429,0.011439420213016534,C6
11,EN_NPi2020_1200f,AIM/CGE 2.2,0.012350882189067046,0.011482603510085777,0.011386325154661389,0.011317123039519475,0.01124986983003233,0.010715309216436018,0.009041781737720824,0.0076767296128121745,0.010652578036291879,0.011739936951271403,0.06272731012786681,0.012721531391220394,C4
12,EN_NPi2020_1400,AIM/CGE 2.2,0.012428998293801993,0.011400308440883319,0.011279790229999037,0.01118995688731153,0.01143948737597806,0.009010175393966063,0.008230236737291131,0.0074437996431302575,0.010302844125295174,0.011703032321561451,0.06586189806482247,0.012379547719949322,C4
13,EN_NPi2020_1400f,AIM/CGE 2.2,0.012421545698450241,0.011304541644441057,0.011129729852131972,0.010976999814468594,0.01153865575672605,0.010350004982732256,0.008802217582982191,0.007579256510513103,0.010512868980305682,0.011618605731674425,0.05959373009110773,0.012523028600255719,C4
14,EN_NPi2020_1600,AIM/CGE 2.2,0.012122448997553291,0.011190146293528207,0.01087821064885453,0.010581624395305533,0.011038338423504953,0.01024419149074731,0.008251403086023342,0.007427763110279764,0.010216765805724616,0.01139693531331201,0.049373273913646244,0.012277592704732656,C5
15,EN_NPi2020_1600f,AIM/CGE 2.2,0.012122448997553291,0.011190146293528207,0.01087821064885453,0.010581624395305533,0.011038338423504953,0.01024419149074731,0.008427669775597106,0.007450918518745124,0.010241693567979507,0.01139693531331201,0.049373273913646244,0.012309807934594696,C5
16,EN_NPi2020_1800,AIM/CGE 2.2,0.012320303895305432,0.011099456495432765,0.010735286347342572,0.010239765601001868,0.010270075053666975,0.009808823267811082,0.008092629823627503,0.007321337024531369,0.009985959688589945,0.011385015579360258,0.041359129592050514,0.012097674016103965,C5
17,EN_NPi2020_1800f,AIM/CGE 2.2,0.012320303895305432,0.011099456495432765,0.010735286347342572,0.010239765601001868,0.010270075053666975,0.009808823267811082,0.008092629823627503,0.007321337024531369,0.009985959688589945,0.011385015579360258,0.041359129592050514,0.012097674016103965,C5
18,EN_NPi2020_400f,AIM/CGE 2.2,0.017748688502248672,0.012712262949334844,0.01594413184069538,0.014661966290229594,0.012886895796919156,0.00993626192324756,0.008833434093235046,0.007870552633197981,0.01257427425363853,0.015468361097426298,0.11729955316119205,0.013207601727252227,C2
19,EN_NPi2020_500f,AIM/CGE 2.2,0.016737183585860873,0.012895951491092858,0.016250755973138888,0.014439553479917233,0.012909845378891,0.01031205589168386,0.008793107610723406,0.007868538603082505,0.012525874001798828,0.015294630350030874,0.11729955316119205,0.01324519755900656,C2
20,EN_NPi2020_600f,AIM/CGE 2.2,0.01599775654903659,0.011931248203985225,0.013941714492321114,0.01321325808413877,0.012535851758436222,0.010781309120655532,0.008740508176443893,0.007881039656608368,0.011877835755203214,0.013956906415114309,0.11516648816143346,0.013237435500320137,C2
21,EN_NPi2100,AIM/CGE 2.2,0.01084123961099424,0.010577874586921266,0.009252176420037147,0.00827142169789498,0.007284487159533074,0.00665512027423055,0.006067573445674605,0.005794757068758616,0.008093081283005558,0.010223763539317551,0.03003890228328458,0.009477844862646821,C7
