,model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,cluster,model_family
30,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,0.1359188203087891,0.6006622852715101,0.6270771038158833,0.7334426148329473,0.0891430300262694,0.2078565735516866,2,MESSAGE
31,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,0.1260383982268608,0.600637379488381,0.6133912254539795,0.7166361029436318,0.1103190399483055,0.230214209659987,2,MESSAGE
32,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,0.1118265009236477,0.6009182511311467,0.5948997236281436,0.7115043273094447,0.1295116366202796,0.2418616500737603,2,MESSAGE
33,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,0.1018671299021411,0.6004485364446671,0.5771180575121269,0.708063178442753,0.144925652361056,0.2431993889588961,2,MESSAGE
34,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0801209373529368,0.5589941270218518,0.2783734571782101,0.6979894495707603,0.30260658071084,0.4490610132342529,2,MESSAGE
35,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.1068597921963584,0.5605030020266618,0.0,0.6626759622118626,0.2600739901704387,0.6180011982698808,2,MESSAGE
36,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0293799214528782,0.5615777095692998,0.0,0.7497374815747843,0.6032771566236749,0.6234470633356184,1,MESSAGE
37,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.1282841777693575,0.613608175198172,0.5805289080962199,0.7276333438305568,0.1469298970645682,0.265051740888364,2,MESSAGE
38,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.1131654670227706,0.5752796910015467,0.3928110520483047,0.720740594719531,0.1938402364790491,0.3431570719516509,2,MESSAGE
39,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.1034542787651473,0.5664480839836914,0.340282093072226,0.7123250841912667,0.2359867639567197,0.3913727643790824,2,MESSAGE
40,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.0859726151674892,0.5613638247974505,0.3134387300349896,0.7040607612776103,0.2717278599307076,0.4053356371769721,2,MESSAGE
41,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0734382845574958,0.6023867846665901,0.3090803384661599,0.6985233134337349,0.2270489137113331,0.3640436410974875,2,MESSAGE
42,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.0968971058050528,0.6006437569566919,0.0,0.6633355240108446,0.1980528700583387,0.5570151416828255,2,MESSAGE
43,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.0711984267939144,0.5603560647607317,0.0,0.6915376157812928,0.3295198310676481,0.4775868629658274,2,MESSAGE
44,MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.1012296351847301,0.563661418643677,0.0,0.6608051798125902,0.2953714836756864,0.6566348236500674,1,MESSAGE
45,MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.0402946725225933,0.6314623571278262,0.0,0.6638682859763421,0.088754715798585,0.4581530886384204,2,MESSAGE
46,MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0388298814135283,0.6115559060652614,0.3314826245885697,0.6699269340804089,0.1273192764666434,0.40874438415608,2,MESSAGE
47,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.7323749724773513,0.5634910627840174,0.1839228089055483,0.8511434176486685,0.637266710286599,0.633250535771968,0,REMIND
48,REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.8750136599004738,0.4516206305332669,0.2017390387138486,0.8757370495136024,0.7570018432646658,0.656191933646458,0,REMIND
49,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7324936426823739,0.5869656283748924,0.2999157359710095,0.8763908044788078,0.4570143109174528,0.6011493149415398,0,REMIND
50,REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.837038886146273,0.4629116783547297,0.461422610741532,0.9045887387760528,0.5156441127433724,0.5430991433062495,0,REMIND
51,REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6668237691505772,0.5805591870157268,0.2859896258296265,0.8453905282924143,0.4568878238801135,0.6043332853009231,0,REMIND
52,REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.6908839970521634,0.5435838679645778,0.1696919321480406,0.8243463611591335,0.6397254340391684,0.6116813235714702,0,REMIND
53,REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6449948302154057,0.504327735356589,0.1567577832763211,0.8132686139803627,0.569671740120397,0.5898235946816579,0,REMIND
54,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.8352960370005049,0.4169672957821966,0.18213564893659,0.8420716015318831,0.7827107712806244,0.6535859985102008,0,REMIND
55,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.7802016375646559,0.454283727556407,0.4775227131167436,0.8675241940769055,0.5105008769148384,0.542045382943123,0,REMIND
