model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2025,1242.423917860444,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Investment|Energy Supply,billion USD_2010/yr,2020,1191.814381147924,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2050,12964.1296,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2090,12964.2144,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2080,12964.0152,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2070,12963.9504,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2100,12964.2672,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2060,12964.1056,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2045,12964.1296,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2025,12964.124,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2035,12964.1096,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2030,12964.124,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2020,12964.328,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover,million ha,2040,12964.1096,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2100,3817.678,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2090,3832.4336,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2080,3785.7992,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2070,3732.7884,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2060,3683.8948,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2050,3630.4864,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2045,3607.3856,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2035,3578.5220000000004,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2030,3577.452,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2025,3573.1772,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2020,3584.2744,GW4-IIc,GW4,GW4,ok
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,World,Land Cover|Forest,million ha,2040,3593.4896000000003,GW4-IIc,GW4,GW4,ok
