Model,Scenario,Category,Category_name,Category_subset,Vetting,Category_Vetting_historical,Project_study,Ssp_family,version
WITCH 5.0,ENGAGE-INDCi2030-1000f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1200,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1200f,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,GW4,GW4,GW4-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1400,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1400f,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,GW4,GW4,GW4-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,GW4,GW4,GW4-IIc,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-500f,GW2,GW2a,GW2-II,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-600f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-700f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-800,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,GW2,GW2b,GW2-IIIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-800f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-900,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,GW3,GW3b,GW3-IIb,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-900f,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,GW3,GW3b,GW3-IIa,ok,ok,SCI 2025,2,1
