model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2035,24.18225317382813,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2030,24.5145859375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2025,27.11564086914063,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2020,24.09342333984375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy,EJ/yr,2040,24.04311669921875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2090,35.35661645507813,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2080,27.7819013671875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2070,20.71316577148438,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2060,13.89486193847656,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2050,8.490505859374998,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2045,6.672136291503906,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2100,43.99142211914062,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2035,4.103515014648438,GW2-IIIb,GW2b,GW2,ok
