model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2020,388.6173125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy,EJ/yr,2040,330.40559375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2100,214.931296875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2090,208.625703125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2080,199.69509375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2070,181.711,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2060,155.8465,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2050,130.0915,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2045,117.9181015625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2040,104.0871015625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2030,84.80484375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2025,85.8085234375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2020,72.485578125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Final Energy|Electricity,EJ/yr,2035,92.935296875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2100,2369.6376953125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2090,2381.87158203125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2080,2411.4072265625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2070,2450.435302734375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2060,2492.959716796875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2050,2534.86572265625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2045,2542.50390625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2040,2550.14208984375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2030,2530.8779296875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2025,2481.291259765625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2020,2431.70458984375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Crops [per capita],kcal/cap/day,2035,2540.510009765625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2050,518.5032958984375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2100,508.0379333496094,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2090,508.5893249511719,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2080,509.8511352539062,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2070,511.9205322265625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2060,514.7347412109375,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2045,519.24658203125,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2040,519.9898071289062,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2035,520.951416015625,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2030,521.9129638671875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2025,518.2166748046875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Food Availability|Livestock [per capita],kcal/cap/day,2020,514.5204467773438,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2100,401656.56320192,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2090,337707.84960384,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2070,233482.56035008,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2060,191309.56926208,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2050,155947.6372,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2045,140063.75334,GW2-IIIb,GW2b,GW2,ok
