model,scenario,version,Climate Category|SCI 2025 [Tier I],missing_iamee_variables,missing_sci_variables,incomplete_variable_count
IMAGE 3.0,ENGAGE-INDCi2030-1000,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-INDCi2030-1000f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-INDCi2030-1200,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-INDCi2030-1200f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-INDCi2030-1400f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-INDCi2030-800f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-NPi2020-1000,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-NPi2020-1200,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-NPi2020-1400,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
IMAGE 3.0,ENGAGE-NPi2020-1400f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
