model,scenario,version,reported_r10_variable_pairs,missing_r10_region_variables
TIAM-ECN 1.1,ENGAGE-NPi2020-800f,1,120,Africa (R10)::Investment|Energy Supply; Africa (R10)::Population; Africa (R10)::Primary Energy|Non-Biomass Renewables; Africa (R10)::GDP|MER; Africa (R10)::Land Cover; Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Primary Energy|Fossil|w/ CCS; Africa (R10)::Primary Energy|Fossil|w/o CCS; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Investment|Energy Supply; China+ (R10)::Population; China+ (R10)::Primary Energy|Non-Biomass Renewables; China+ (R10)::GDP|MER; China+ (R10)::Land Cover; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Primary Energy|Fossil|w/ CCS; China+ (R10)::Primary Energy|Fossil|w/o CCS; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Investment|Energy Supply; Europe (R10)::Population; Europe (R10)::Primary Energy|Non-Biomass Renewables; Europe (R10)::GDP|MER; Europe (R10)::Land Cover; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Primary Energy|Fossil|w/ CCS; Europe (R10)::Primary Energy|Fossil|w/o CCS; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Investment|Energy Supply; India+ (R10)::Population; India+ (R10)::Primary Energy|Non-Biomass Renewables; India+ (R10)::GDP|MER; India+ (R10)::Land Cover; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Primary Energy|Fossil|w/ CCS; India+ (R10)::Primary Energy|Fossil|w/o CCS; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Investment|Energy Supply; Latin America (R10)::Population; Latin America (R10)::Primary Energy|Non-Biomass Renewables; Latin America (R10)::GDP|MER; Latin America (R10)::Land Cover; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Primary Energy|Fossil|w/ CCS; Latin America (R10)::Primary Energy|Fossil|w/o CCS; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Investment|Energy Supply; Middle East (R10)::Population; Middle East (R10)::Primary Energy|Non-Biomass Renewables; Middle East (R10)::GDP|MER; Middle East (R10)::Land Cover; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Primary Energy|Fossil|w/ CCS; Middle East (R10)::Primary Energy|Fossil|w/o CCS; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Investment|Energy Supply; North America (R10)::Population; North America (R10)::Primary Energy|Non-Biomass Renewables; North America (R10)::GDP|MER; North America (R10)::Land Cover; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Primary Energy|Fossil|w/ CCS; North America (R10)::Primary Energy|Fossil|w/o CCS; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Investment|Energy Supply; Pacific OECD (R10)::Population; Pacific OECD (R10)::Primary Energy|Non-Biomass Renewables; Pacific OECD (R10)::GDP|MER; Pacific OECD (R10)::Land Cover; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Primary Energy|Fossil|w/ CCS; Pacific OECD (R10)::Primary Energy|Fossil|w/o CCS; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Investment|Energy Supply; Reforming Economies (R10)::Population; Reforming Economies (R10)::Primary Energy|Non-Biomass Renewables; Reforming Economies (R10)::GDP|MER; Reforming Economies (R10)::Land Cover; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Primary Energy|Fossil|w/ CCS; Reforming Economies (R10)::Primary Energy|Fossil|w/o CCS; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Investment|Energy Supply; Rest of Asia (R10)::Population; Rest of Asia (R10)::Primary Energy|Non-Biomass Renewables; Rest of Asia (R10)::GDP|MER; Rest of Asia (R10)::Land Cover; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Primary Energy|Fossil|w/ CCS; Rest of Asia (R10)::Primary Energy|Fossil|w/o CCS; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
TIAM-ECN 1.1,ENGAGE-NPi2020-900,1,120,Africa (R10)::Investment|Energy Supply; Africa (R10)::Population; Africa (R10)::Primary Energy|Non-Biomass Renewables; Africa (R10)::GDP|MER; Africa (R10)::Land Cover; Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Primary Energy|Fossil|w/ CCS; Africa (R10)::Primary Energy|Fossil|w/o CCS; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Investment|Energy Supply; China+ (R10)::Population; China+ (R10)::Primary Energy|Non-Biomass Renewables; China+ (R10)::GDP|MER; China+ (R10)::Land Cover; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Primary Energy|Fossil|w/ CCS; China+ (R10)::Primary Energy|Fossil|w/o CCS; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Investment|Energy Supply; Europe (R10)::Population; Europe (R10)::Primary Energy|Non-Biomass Renewables; Europe (R10)::GDP|MER; Europe (R10)::Land Cover; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Primary Energy|Fossil|w/ CCS; Europe (R10)::Primary Energy|Fossil|w/o CCS; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Investment|Energy Supply; India+ (R10)::Population; India+ (R10)::Primary Energy|Non-Biomass Renewables; India+ (R10)::GDP|MER; India+ (R10)::Land Cover; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Primary Energy|Fossil|w/ CCS; India+ (R10)::Primary Energy|Fossil|w/o CCS; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Investment|Energy Supply; Latin America (R10)::Population; Latin America (R10)::Primary Energy|Non-Biomass Renewables; Latin America (R10)::GDP|MER; Latin America (R10)::Land Cover; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Primary Energy|Fossil|w/ CCS; Latin America (R10)::Primary Energy|Fossil|w/o CCS; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Investment|Energy Supply; Middle East (R10)::Population; Middle East (R10)::Primary Energy|Non-Biomass Renewables; Middle East (R10)::GDP|MER; Middle East (R10)::Land Cover; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Primary Energy|Fossil|w/ CCS; Middle East (R10)::Primary Energy|Fossil|w/o CCS; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Investment|Energy Supply; North America (R10)::Population; North America (R10)::Primary Energy|Non-Biomass Renewables; North America (R10)::GDP|MER; North America (R10)::Land Cover; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Primary Energy|Fossil|w/ CCS; North America (R10)::Primary Energy|Fossil|w/o CCS; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Investment|Energy Supply; Pacific OECD (R10)::Population; Pacific OECD (R10)::Primary Energy|Non-Biomass Renewables; Pacific OECD (R10)::GDP|MER; Pacific OECD (R10)::Land Cover; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Primary Energy|Fossil|w/ CCS; Pacific OECD (R10)::Primary Energy|Fossil|w/o CCS; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Investment|Energy Supply; Reforming Economies (R10)::Population; Reforming Economies (R10)::Primary Energy|Non-Biomass Renewables; Reforming Economies (R10)::GDP|MER; Reforming Economies (R10)::Land Cover; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Primary Energy|Fossil|w/ CCS; Reforming Economies (R10)::Primary Energy|Fossil|w/o CCS; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Investment|Energy Supply; Rest of Asia (R10)::Population; Rest of Asia (R10)::Primary Energy|Non-Biomass Renewables; Rest of Asia (R10)::GDP|MER; Rest of Asia (R10)::Land Cover; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Primary Energy|Fossil|w/ CCS; Rest of Asia (R10)::Primary Energy|Fossil|w/o CCS; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
TIAM-ECN 1.1,ENGAGE-NPi2020-900f,1,120,Africa (R10)::Investment|Energy Supply; Africa (R10)::Population; Africa (R10)::Primary Energy|Non-Biomass Renewables; Africa (R10)::GDP|MER; Africa (R10)::Land Cover; Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Primary Energy|Fossil|w/ CCS; Africa (R10)::Primary Energy|Fossil|w/o CCS; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Investment|Energy Supply; China+ (R10)::Population; China+ (R10)::Primary Energy|Non-Biomass Renewables; China+ (R10)::GDP|MER; China+ (R10)::Land Cover; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Primary Energy|Fossil|w/ CCS; China+ (R10)::Primary Energy|Fossil|w/o CCS; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Investment|Energy Supply; Europe (R10)::Population; Europe (R10)::Primary Energy|Non-Biomass Renewables; Europe (R10)::GDP|MER; Europe (R10)::Land Cover; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Primary Energy|Fossil|w/ CCS; Europe (R10)::Primary Energy|Fossil|w/o CCS; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Investment|Energy Supply; India+ (R10)::Population; India+ (R10)::Primary Energy|Non-Biomass Renewables; India+ (R10)::GDP|MER; India+ (R10)::Land Cover; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Primary Energy|Fossil|w/ CCS; India+ (R10)::Primary Energy|Fossil|w/o CCS; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Investment|Energy Supply; Latin America (R10)::Population; Latin America (R10)::Primary Energy|Non-Biomass Renewables; Latin America (R10)::GDP|MER; Latin America (R10)::Land Cover; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Primary Energy|Fossil|w/ CCS; Latin America (R10)::Primary Energy|Fossil|w/o CCS; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Investment|Energy Supply; Middle East (R10)::Population; Middle East (R10)::Primary Energy|Non-Biomass Renewables; Middle East (R10)::GDP|MER; Middle East (R10)::Land Cover; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Primary Energy|Fossil|w/ CCS; Middle East (R10)::Primary Energy|Fossil|w/o CCS; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Investment|Energy Supply; North America (R10)::Population; North America (R10)::Primary Energy|Non-Biomass Renewables; North America (R10)::GDP|MER; North America (R10)::Land Cover; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Primary Energy|Fossil|w/ CCS; North America (R10)::Primary Energy|Fossil|w/o CCS; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Investment|Energy Supply; Pacific OECD (R10)::Population; Pacific OECD (R10)::Primary Energy|Non-Biomass Renewables; Pacific OECD (R10)::GDP|MER; Pacific OECD (R10)::Land Cover; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Primary Energy|Fossil|w/ CCS; Pacific OECD (R10)::Primary Energy|Fossil|w/o CCS; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Investment|Energy Supply; Reforming Economies (R10)::Population; Reforming Economies (R10)::Primary Energy|Non-Biomass Renewables; Reforming Economies (R10)::GDP|MER; Reforming Economies (R10)::Land Cover; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Primary Energy|Fossil|w/ CCS; Reforming Economies (R10)::Primary Energy|Fossil|w/o CCS; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Investment|Energy Supply; Rest of Asia (R10)::Population; Rest of Asia (R10)::Primary Energy|Non-Biomass Renewables; Rest of Asia (R10)::GDP|MER; Rest of Asia (R10)::Land Cover; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Primary Energy|Fossil|w/ CCS; Rest of Asia (R10)::Primary Energy|Fossil|w/o CCS; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1000,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1000f,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1200,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
WITCH 5.0,ENGAGE-INDCi2030-1200f,1,190,Africa (R10)::Carbon Sequestration|Land Use; Africa (R10)::Food Demand|Crops; Africa (R10)::Food Demand|Livestock; Africa (R10)::Land Cover|Forest|Natural Forest; China+ (R10)::Carbon Sequestration|Land Use; China+ (R10)::Food Demand|Crops; China+ (R10)::Food Demand|Livestock; China+ (R10)::Land Cover|Forest|Natural Forest; Europe (R10)::Carbon Sequestration|Land Use; Europe (R10)::Food Demand|Crops; Europe (R10)::Food Demand|Livestock; Europe (R10)::Land Cover|Forest|Natural Forest; India+ (R10)::Carbon Sequestration|Land Use; India+ (R10)::Food Demand|Crops; India+ (R10)::Food Demand|Livestock; India+ (R10)::Land Cover|Forest|Natural Forest; Latin America (R10)::Carbon Sequestration|Land Use; Latin America (R10)::Food Demand|Crops; Latin America (R10)::Food Demand|Livestock; Latin America (R10)::Land Cover|Forest|Natural Forest; Middle East (R10)::Carbon Sequestration|Land Use; Middle East (R10)::Food Demand|Crops; Middle East (R10)::Food Demand|Livestock; Middle East (R10)::Land Cover|Forest|Natural Forest; North America (R10)::Carbon Sequestration|Land Use; North America (R10)::Food Demand|Crops; North America (R10)::Food Demand|Livestock; North America (R10)::Land Cover|Forest|Natural Forest; Pacific OECD (R10)::Carbon Sequestration|Land Use; Pacific OECD (R10)::Food Demand|Crops; Pacific OECD (R10)::Food Demand|Livestock; Pacific OECD (R10)::Land Cover|Forest|Natural Forest; Reforming Economies (R10)::Carbon Sequestration|Land Use; Reforming Economies (R10)::Food Demand|Crops; Reforming Economies (R10)::Food Demand|Livestock; Reforming Economies (R10)::Land Cover|Forest|Natural Forest; Rest of Asia (R10)::Carbon Sequestration|Land Use; Rest of Asia (R10)::Food Demand|Crops; Rest of Asia (R10)::Food Demand|Livestock; Rest of Asia (R10)::Land Cover|Forest|Natural Forest
