model,scenario,version,reported_r10_variable_pairs,required_r10_variable_pairs,has_all_mandatory_variables_at_all_r10_regions
TIAM-ECN 1.1,ENGAGE-NPi2020-1000-COV,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1000f-COV,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1200,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1200f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1400,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1400f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-1600,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-800,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-800f,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-900,1,130,230,False
TIAM-ECN 1.1,ENGAGE-NPi2020-900f,1,130,230,False
WITCH 5.0,ENGAGE-INDCi2030-1000,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1000f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1200,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1200f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1400,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1400f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-500f,1,210,230,False
