Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Emissions|CO2,Mt CO2/yr,10791.172771163308,11205.160564169691,11241.76546326156,7223.868653000465,3958.9696455421977,1291.7373048049303,-20.259964944773944,,-1328.1667481676177,,-1886.478292000925,,-1779.0454510080856,,-1877.681335619917,,-1831.628682620939
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Final Energy,EJ/yr,95.666578125,101.3751015625,104.823296875,83.243953125,75.83284375,71.40840625,67.9578515625,,62.43796875,,57.54701953125,,52.4886015625,,47.03671875,,43.17848046875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Final Energy|Electricity,EJ/yr,22.102279296875,27.075939453125,30.549029296875,26.52341015625,24.582109375,25.743630859375,28.1455390625,,32.136400390625,,32.9382890625,,30.1095703125,,27.6700390625,,25.318650390625
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,GDP|MER,billion USD_2010/yr,13864.8172394,19600.7060368,25183.582708,30087.824623,34610.859971800004,38762.503330800006,42189.164092,,47043.15670512,,50517.764884480006,,52667.8749316,,53834.236532400006,,54540.4429372
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Investment|Energy Supply,billion USD_2010/yr,405.4043453306451,460.9026656872287,383.7063546504153,154.71885264679926,204.27455690830035,272.58632202639967,192.74188391905128,,200.2688192493385,,98.6783529952895,,173.44907786193136,,294.56362980565734,,153.0298962312857
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Land Cover,million ha,1087.7641,1087.7381,1087.7381,1087.7095000000002,1087.7095000000002,1087.7125,1087.7125,,1087.7418,,1087.7029,,1087.8264,,1087.9524,,1087.9836
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Land Cover|Forest|Natural Forest,million ha,137.1679875,137.0816125,137.3318125,137.82045,138.607225,138.9208625,139.4327,,140.44706250000002,,140.3781125,,143.70191250000002,,146.694175,,147.5870875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Population,million,1419.541015625,1426.0679931640625,1421.949951171875,1406.6939697265625,1380.873046875,1346.0479736328125,1303.4940185546875,,1202.47802734375,,1093.6920166015625,,985.9840698242188,,883.91552734375,,796.3328857421875
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Biomass,EJ/yr,12.9006044921875,9.723862060546876,6.82585302734375,6.072803955078125,15.667041503906251,25.679050537109376,31.503454711914063,,35.252046508789064,,38.74240399169922,,35.79477136230469,,34.22848654174805,,31.74766033935547
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Coal,EJ/yr,77.408078125,75.2013828125,74.357578125,34.98044140625,22.62155078125,19.82769921875,19.054259765625,,18.45144921875,,18.134009765625,,17.459630859375,,10.812009765625,,4.82094677734375
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0,3.2490737682799053e-10,1.339981398816789e-07,0.9345998153686524,9.07390869140625,22.56922671508789,24.91102767944336,,25.02471226501465,,24.57706703847833,,25.80396371526271,,13.532405287247151,,6.0074844291545455
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Fossil|w/o CCS,EJ/yr,121.692109375,132.34159375000002,137.83446875,98.97630859375,71.9645390625,47.098369140625,36.79847998046875,,26.49424169921875,,21.51997302246094,,19.68762829589844,,18.86791088867188,,15.258385314941409
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Gas,EJ/yr,20.93773046875,32.972710937500004,37.03737109375,42.69823828125,36.31591015625,32.4239296875,30.22044921875,,25.1345390625,,19.30483984375,,18.3332890625,,13.5929697265625,,9.119087890625
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Non-Biomass Renewables,EJ/yr,7.274352136,9.503983806,10.600211032,10.983656462,10.784527964,11.635652212,12.502015372,,15.055511392,,13.567940536,,10.22509596,,11.258301796,,13.592040396000002
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Nuclear,EJ/yr,1.4110790400000002,1.6029899520000002,1.623836032,1.6334240000000002,1.779985024,2.3267141120000003,2.6261780480000003,,2.9990149120000003,,3.097240064,,2.15227008,,2.637697024,,2.797739008
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10CHINA+,Primary Energy|Oil,EJ/yr,23.34630078125,24.1675,26.43951953125,22.23223046875,22.10098046875,17.415970703125,12.4347900390625,,7.9329619140625,,8.658190429687501,,9.6986787109375,,7.995328125,,7.3258349609375
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Capacity|Electricity|Solar|PV,GW,116.5212109375,117.7648525390625,148.47374755859374,168.52066845703126,151.1361826171875,188.84758984375,292.20434375,,447.52087109375,,431.81478125,,254.296291015625,,305.4377099609375,,453.44476953125
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Capacity|Electricity|Wind,GW,175.99089013671875,167.74370035624503,184.20882390594485,238.2032893676757,266.4070186157227,402.9733135986328,550.431376953125,,675.7575755615235,,484.7576322021485,,266.5244107055664,,331.4840153808594,,568.209879638672
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,0.0,0.0,0.0643763914922601,26.52629748064328,448.5256404028253,908.7894840098064,1124.8597761635513,,1327.2543156150882,,1538.8958152567889,,1638.2860909895194,,1774.835538041169,,1782.8264016126618
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Carbon Sequestration|Land Use,Mt CO2/yr,293.3240128016399,277.9583424039176,469.9383124670685,471.9890823706416,541.6767592258204,460.9219335283388,288.89823730867374,,225.59290210594185,,442.7655982256118,,341.8747568037715,,461.17597164820575,,350.584877531561
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Emissions|CO2,Mt CO2/yr,4326.995590603324,3854.123126062452,3274.0008853074023,2375.000445263923,1527.9751982488517,678.4846734027957,266.68936715961024,,-289.43934633978927,,-633.7064784943975,,-395.79184217872194,,-545.5396214027439,,-462.31752399832766
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Final Energy,EJ/yr,60.95461572265626,57.339777832031245,55.56801806640625,47.88066796875,45.068978515625,43.15181884765625,41.99800390625,,41.90042431640625,,44.45144970703125,,45.703546875,,46.67103173828126,,47.670642578125
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Final Energy|Electricity,EJ/yr,13.428298034667968,13.69610607910156,14.013447875976563,12.86967010498047,13.179224365234376,14.59346160888672,16.99330505371094,,21.040223876953128,,21.721925292968752,,21.477680908203123,,22.550854248046875,,22.941836181640625
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,GDP|MER,billion USD_2010/yr,20010.3977216975,21768.8578453,23696.59019516,25860.09835758,28320.082053600003,30957.65862642,33736.00236748,,39981.067179100006,,47171.4407513,,54654.16241786,,62446.714531460006,,70659.03807162
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Investment|Energy Supply,billion USD_2010/yr,107.47026112657169,79.51111580272172,80.80282466601447,104.33566063901054,137.69277840069032,246.8837250079508,313.92814903071667,,237.0047793131681,,144.33627803335816,,156.21615460780689,,202.22509661606333,,267.9989236044215
